ticker,year,fiscal_year_end,total_assets,total_debt,long_term_debt,short_term_debt,shareholders_equity,cash_and_equivalents,revenue,operating_income,interest_expense,net_income,operating_cash_flow,capital_expenditures,free_cash_flow,debt_to_equity,interest_coverage,net_debt,roe,roa
V,2014,2014-12-31,,,,,,,,,,,,,,,,,,
V,2015,2015-12-31,,,,,,,,,,,,,,,,,,
V,2016,2016-12-31,,,,,,,,,,,,,,,,,,
V,2017,2017-12-31,,,,,,,,,,,,,,,,,,
V,2018,2018-12-31,,,,,,,,,,,,,,,,,,
V,2019,2019-12-31,,,,,,,,,,,,,,,,,,
V,2020,2020-12-31,,,,,,,,,,,,,,,,,,
V,2021,2021-12-31,,,,,,,,,,,,,,,,,,
V,2022,2022-12-31,,,,,,,,,,,,,,,,,,
V,2023,2023-12-31,,,,,,,,,,,,,,,,,,
V,2024,2024-12-31,,,,,,,,,,,,,,,,,,
