Year,"Annual Percentage Change in Per-Share
Market Value of
Berkshire","Annual Percentage Change in S&P 500
with Dividends
Included"
1965,49.50,10.00
1966,-3.40,-11.70
1967,13.30,30.90
1968,77.80,11.00
1969,19.40,-8.40
1970,-4.60,3.90
1971,80.50,14.60
1972,8.10,18.90
1973,-2.50,-14.80
1974,-48.70,-26.40
1975,2.50,37.20
1976,129.30,23.60
1977,46.80,-7.40
1978,14.50,6.40
1979,102.50,18.20
1980,32.80,32.30
1981,31.80,-5.00
1982,38.40,21.40
1983,69.00,22.40
1984,-2.70,6.10
1985,93.70,31.60
1986,14.20,18.60
1987,4.60,5.10
1988,59.30,16.60
1989,84.60,31.70
1990,-23.10,-3.10
1991,35.60,30.50
1992,29.80,7.60
1993,38.90,10.10
1994,25.00,1.30
1995,57.40,37.60
1996,6.20,23.00
1997,34.90,33.40
1998,52.20,28.60
1999,-19.90,21.00
2000,26.60,-9.10
2001,6.50,-11.90
2002,-3.80,-22.10
2003,15.80,28.70
2004,4.30,10.90
2005,0.80,4.90
2006,24.10,15.80
2007,28.70,5.50
2008,-31.80,-37.00
2009,2.70,26.50
2010,21.40,15.10
2011,-4.70,2.10
2012,16.80,16.00
2013,32.70,32.40
2014,27.00,13.70
2015,-12.50,1.40
2016,23.40,12.00
2017,21.90,21.80
2018,2.80,-4.40
2019,11.00,31.50
2020,2.40,18.40
2021,29.60,28.70
Compounded Annual Gain – 1965-2021,20.10,10.50
Overall Gain – 1964-2021,3641613.00,30209.00
,,
,,
