operating_cash_flow,capital_expenditures,free_cash_flow,net_income,revenue,working_capital_change,dividend_payout,share_buybacks,year,fcf_to_net_income,fcf_margin,total_capital_return,cash_conversion_cycle,fcf_margin_trend_1yr,fcf_trend_4q,fcf_margin_velocity_qoq,fcf_velocity_qoq,ocf_velocity_qoq,fcf_margin_acceleration,symbol,date,company,gross_profit,eps,cost_of_revenue,total_debt,total_equity,total_assets,cash,interest_expense,operating_income,ebitda,current_assets,current_liabilities,inventory,gross_margin,net_margin,operating_margin,eps_to_revenue,cost_efficiency,ocf_to_revenue,ocf_to_revenue_yoy,fcf_to_revenue,capex_intensity,capex_intensity_trend,dio,working_capital_to_revenue,year_x,year_y
29728000000,-3242000000,26486000000,27466000000,102466000000,-5707000000,0,-20132000000,2025,0.9643195223185029,25.848574161185173,-20132000000,31.400415747662663,0.6689681356927046,0.0,-0.10425241587041967,8.526941200573646,6.678149782897336,-4.159827553628201,AAPL,2025-09-27,Apple,48341000000,1.85,54125000000,112377000000,73733000000,359241000000,33539000000,0,32427000000,35931000000,147957000000,165631000000,5718000000,47.177600374758455,26.804988971951673,31.646594968086976,0.01805476938691859,52.822399625241545,29.01255050455761,2.725053873322647,25.848574161185173,3.1639763433724357,0.10066653614605858,38.56018475750577,-0.17248648332129682,2025,2025
27867000000,-3462000000,24405000000,23434000000,94036000000,-2034000000,0,-21075000000,2025,1.0414355210378083,25.952826577055593,-21075000000,9.261240376026194,-5.182559365563055,1.0,4.055575137757781,16.87658637038456,16.345190380761522,3.875942362981288,AAPL,2025-06-28,Apple,43718000000,1.57,50318000000,101698000000,65830000000,331495000000,36269000000,0,28202000000,31032000000,122491000000,141120000000,5925000000,46.490705687183635,24.920243311072355,29.99064188183249,0.01669573354885363,53.509294312816365,29.634395337955677,-11.915256466012048,25.952826577055593,3.6815687609000807,1.173903535956331,42.979152589530585,-0.19810498107107916,2025,2025
23952000000,-3071000000,20881000000,24780000000,95359000000,-6507000000,0,-25898000000,2025,0.8426553672316384,21.89725143929781,-25898000000,7.429450812193977,-0.9053005424548566,0.0,0.17963277477649342,-22.64863863678459,-19.98663771504927,3.641620135747644,AAPL,2025-03-29,Apple,44867000000,1.65,50492000000,98186000000,66796000000,331233000000,28162000000,0,29589000000,32250000000,118674000000,144571000000,6269000000,47.050619238876244,25.986010759341017,31.029058610094484,0.017303033798592687,52.949380761123756,25.117713063266184,0.46310328914040966,21.89725143929781,3.2204616239683723,1.0210852948112095,45.31777311257228,-0.2715737371406999,2025,2025
29935000000,-2940000000,26995000000,36330000000,124300000000,-10752000000,0,-23606000000,2024,0.7430498210845031,21.717618664521318,-23606000000,12.647264682220452,-9.645960678986938,1.0,-3.4619873609711505,12.935614776387894,11.651933907724432,2.4937925561550287,AAPL,2024-12-28,Apple,58275000000,2.41,66025000000,96799000000,66758000000,344085000000,30299000000,0,42832000000,45912000000,133240000000,144365000000,6911000000,46.882542236524536,29.227674979887368,34.458567980691875,0.01938857602574417,53.117457763475464,24.08286403861625,-27.817810065984748,21.717618664521318,2.3652453740949317,0.3648272264888268,38.20545248012117,-0.08950120675784393,2024,2024
26811000000,-2908000000,23903000000,14736000000,94930000000,6608000000,0,-25083000000,2024,1.6220819761129208,25.17960602549247,-25083000000,17.567523438323008,3.464036962496646,0.0,-5.955779917126179,-10.499120080877677,-7.093353662762492,-14.288613877992159,AAPL,2024-09-28,Apple,43879000000,0.97,51051000000,119059000000,56950000000,364980000000,29943000000,0,29591000000,32502000000,152987000000,176392000000,7286000000,46.22247972190035,15.523016959865163,31.171389444854103,0.01021805540924892,53.77752027809966,28.242915832718847,17.03326609855873,25.17960602549247,3.063309807226377,0.6464960236781416,52.09280915163268,-0.24655008953966082,2024,2024
28858000000,-2151000000,26707000000,21448000000,85777000000,1684000000,0,-26522000000,2024,1.2451976874300634,31.135385942618647,-26522000000,7.501952737913427,1.4435879549173833,1.0,8.33283396086598,29.056731419735193,27.183781401498464,16.893861322621568,AAPL,2024-06-29,Apple,39678000000,1.4,46099000000,101304000000,66708000000,331612000000,25565000000,0,25352000000,28202000000,125435000000,131624000000,6165000000,46.2571551814589,25.004371801298714,29.555708406682445,0.016321391515208037,53.7428448185411,33.6430511675624,4.317689778358669,31.135385942618647,2.5076652249437497,-0.05110832420841982,48.812880973556915,-0.07215220863401611,2024,2024
22690000000,-1996000000,20694000000,23636000000,90753000000,-5764000000,0,-23205000000,2024,0.875528854290066,22.802551981752668,-23205000000,6.5516842418432475,-4.237812436822555,0.0,-8.561027361755588,-44.82041436685065,-43.12570497556085,-18.209037642268022,AAPL,2024-03-30,Apple,42271000000,1.53,48482000000,104590000000,74194000000,337411000000,32695000000,0,27900000000,30736000000,128416000000,123822000000,6232000000,46.578074554009234,26.044318094167686,30.742785362467355,0.016858946811675646,53.42192544599077,25.001928310909832,-16.978890991125883,22.802551981752668,2.199376329157163,-0.875405399300385,46.918031434346766,0.050620916112965965,2024,2024
39895000000,-2392000000,37503000000,33916000000,119575000000,1123000000,0,-20139000000,2023,1.10576129260526,31.363579343508256,-20139000000,-4.679448045159916,5.5701792035215725,1.0,9.648010280512434,92.96629791613069,84.71617742383555,17.624239205217876,AAPL,2023-12-30,Apple,54855000000,2.19,64720000000,108040000000,74100000000,353514000000,40760000000,0,40373000000,43221000000,143692000000,133973000000,6511000000,45.87497386577462,28.36378841731131,33.7637466025507,0.01831486514739703,54.125026134225386,33.36399749111436,14.945618646493507,31.363579343508256,2.000418147606105,-1.2320792489829997,36.71994746600742,0.08127953167468116,2023,2023
21598000000,-2163000000,19435000000,22956000000,89498000000,-6060000000,0,-21003000000,2023,0.8466196201428821,21.715569062995822,-21003000000,19.18841761827082,-1.4002652502293884,0.0,-7.976228924705442,-19.977765882982666,-18.127369219105383,-10.627662493831483,AAPL,2023-09-30,Apple,40427000000,1.47,49071000000,123930000000,62146000000,352583000000,29965000000,1002000000,26969000000,30653000000,143566000000,145308000000,6331000000,45.17084180652082,25.649735189613175,30.133634271156893,0.016424948043531697,54.82915819347919,24.132382846544058,-9.8338880057794,21.715569062995822,2.4168137835482355,-1.23171194138687,47.09125552770476,-0.019464122103287223,2023,2023
26380000000,-2093000000,24287000000,19881000000,81797000000,749000000,0,-17478000000,2023,1.2216186308535788,29.691797987701264,-17478000000,-0.7228871474503933,4.631225897873762,1.0,2.6514335691260413,-5.291686164404929,-7.6330532212885105,1.4044692905375022,AAPL,2023-07-01,Apple,36413000000,1.27,45384000000,109280000000,60274000000,335038000000,28408000000,998000000,22998000000,26050000000,122659000000,124963000000,7351000000,44.5163025538834,24.305292370135824,28.115945572576013,0.015526241793708817,55.48369744611661,32.25057153685343,16.87380587654306,29.691797987701264,2.5587735491521695,0.02499180154190439,59.12028468182619,-0.0281672921989804,2023,2023
