total_debt,total_equity,total_assets,cash,interest_expense,operating_income,ebitda,current_assets,current_liabilities,inventory,year,debt_to_equity,debt_to_assets,interest_coverage,net_debt,net_debt_to_ebitda,current_ratio,quick_ratio,debt_to_equity_trend_1yr,net_debt_to_ebitda_trend_1yr,current_ratio_trend_1yr,is_deleveraging,debt_to_equity_yoy,net_debt_to_ebitda_yoy,interest_coverage_yoy,current_ratio_yoy,debt_to_equity_velocity_qoq,net_debt_velocity_qoq,interest_expense_velocity_qoq,debt_to_equity_trend_2yr,net_debt_to_ebitda_trend_2yr,debt_to_equity_cagr_3yr,debt_to_equity_acceleration_qoq,leverage_momentum_3q,is_leverage_increasing,is_liquidity_deteriorating,debt_growth_faster_than_equity,symbol,date,company,operating_cash_flow,free_cash_flow,net_income,revenue,capital_expenditures,gross_profit,eps,cost_of_revenue,gross_margin,net_margin,operating_margin,eps_to_revenue,cost_efficiency,roa,roic,roa_yoy,roa_trend_2yr,roic_yoy,asset_turnover,asset_turnover_yoy,equity_multiplier,fcf_to_debt,ebitda_to_interest,year_x,year_y
33713000000,386867000000,536469000000,23090000000,143000000,31228000000,49741000000,173947000000,99550000000,0,2025,0.08714364368116174,0.06284240095886248,218.37762237762237,10623000000,0.21356627329567157,1.7473329984932195,1.7473329984932195,0.0014372712554250044,0.01876979826419864,-0.20235946342032318,1,1.6769712855019936,9.635594412663796,-58.65365306829491,-10.379045278849553,-0.02767080373917795,-10009000000.0,-118000000.0,-0.0191732939693679,0.2812022804840395,-8.5745608367911,-0.07423662038970762,0.09006890729043715,0,1,1,GOOGL,2025-09-30,Google,48414000000,24461000000,34979000000,102346000000,-23953000000,60977000000,2.89,41369000000,59.579270318331936,34.177202821800556,30.512184159615423,0.02823754714400172,40.420729681668064,6.520227636638837,5.5687384088639496,6.666372545000043,1.5571688860622208,-11.215449869809602,0.19077709988834396,-7.004917228714591,1.3867013728232183,0.7255658054756325,347.83916083916085,2025,2025
41668000000,362916000000,502053000000,21036000000,261000000,31271000000,39192000000,166216000000,87310000000,0,2025,0.1148144474203397,0.08299522162002816,119.81226053639847,20632000000,0.5264339661155338,1.9037452754552744,1.9037452754552744,0.02237646675181769,0.5080466839856737,-0.17543278212176672,0,24.20700516171874,2763.033059467919,-70.72954801845506,-8.437602613323381,0.04656581665052967,20332000000.0,227000000.0,0.00583080207948973,0.39785100285352337,0.6888659279510989,0.0566384812997498,0.08712812453639329,1,0,1,GOOGL,2025-06-30,Google,27747000000,5301000000,28196000000,96428000000,-22446000000,57389000000,2.33,39039000000,59.514871199236744,29.240469573153028,32.42937735927324,0.02416310615174016,40.48512880076326,5.616140128631838,5.7968802523085445,-1.3757381280906311,0.8208685671402076,-7.403794862741697,0.1920673713731419,-5.992561392888929,1.3833862381377509,0.12721992896227322,150.16091954022988,2025,2025
23564000000,345267000000,475374000000,23264000000,34000000,30606000000,46310000000,162052000000,91654000000,0,2025,0.06824863076981003,0.049569391678972764,900.1764705882352,300000000,0.006478082487583675,1.7680843171056364,1.7680843171056364,-0.027566888755944305,-0.1055827559260924,-0.3809734383913308,1,-28.77079714475125,-94.2191379439179,232.19452039609808,-17.727463927707753,-0.010072664649220131,-1695000000.0,-19000000.0,-0.043371414152648904,-0.14634218519884082,-15.192997241783413,-0.0026875876425135475,0.07742543287152565,0,1,0,GOOGL,2025-03-31,Google,36150000000,18953000000,34540000000,90234000000,-17197000000,53873000000,2.84,36361000000,59.70365937451515,38.27825431655473,33.91847862224882,0.031473723873484495,40.29634062548485,7.265858040195719,6.223582074174893,25.084408447034345,3.1924164678705473,4.5417796455687665,0.18981685998813566,-3.99446489754397,1.376830105396693,0.8043201493804107,1362.0588235294117,2025,2025
25461000000,325084000000,450256000000,23466000000,53000000,30972000000,36501000000,163711000000,89122000000,0,2024,0.07832129541903016,0.05654783056749938,584.377358490566,1995000000,0.05465603682090902,1.8369313974102914,1.8369313974102914,-0.01738445553640408,-0.06333659103963468,-0.2596535391531327,1,-18.164483704327473,-53.67843075288792,70.15671914524648,-12.38459432884883,-0.0073850770067065835,-4968000000.0,-1000000.0,-0.03754712234597703,-0.30918387361849764,-11.460646730538116,-0.0006534687639213194,0.08548854950442963,0,1,0,GOOGL,2024-12-31,Google,39113000000,24837000000,26536000000,96469000000,-14276000000,55856000000,2.17,40613000000,57.90046543449191,27.507282132083883,32.10565051985612,0.022494272771563923,42.09953456550809,5.893536121673003,6.626538675491021,14.637781557124917,2.1636311762089004,15.769380582068715,0.2142536690238442,-0.1112705528412472,1.3850450960367167,0.9754919288323318,688.6981132075472,2024,2024
26922000000,314119000000,430266000000,19959000000,54000000,28521000000,35745000000,157541000000,80803000000,0,2024,0.08570637242573674,0.06257059586395393,528.1666666666666,6963000000,0.19479647503147293,1.9496924619135427,1.9496924619135427,-0.020610565224792904,0.26243248221984083,-0.09341548176801462,1,-19.38596584914918,-388.0070588569193,187.0605506879695,-4.572224490483134,-0.006731608242785264,6387000000.0,-13000000.0,-0.028327677711078886,-0.14563532084683914,-9.048481851655676,-0.003354069385552938,0.09131995754000437,0,1,0,GOOGL,2024-09-30,Google,30698000000,17637000000,26301000000,88268000000,-13061000000,51794000000,2.14,36474000000,58.678116644763676,29.796755336022112,32.31182308424344,0.024244346762133502,41.32188335523633,6.112730264534032,6.272193079424468,23.16457595477477,2.2300210211180294,18.431199229716945,0.20514751339868825,6.1169535523541985,1.3697547744644545,0.6551147760196122,661.9444444444445,2024,2024
27801000000,300753000000,414770000000,27225000000,67000000,27425000000,31326000000,161995000000,77913000000,0,2024,0.092437980668522,0.06702750922197845,409.32835820895525,576000000,0.01838728212986018,2.079178057577041,2.079178057577041,-0.01654566467232796,-0.11019568113215031,-0.09287408567534916,1,-15.181786790651797,-85.70006347388896,-19.40141311940161,-4.27586814450418,-0.003377538857232326,-2990000000.0,-27000000.0,-0.02003603261944796,-0.45091172639336125,-7.762461439170831,-0.003487307427552419,0.09465308371657018,0,1,0,GOOGL,2024-06-30,Google,26640000000,13454000000,23619000000,84742000000,-13186000000,49235000000,1.91,35507000000,58.099879634655785,27.871657501593074,32.362936914399,0.022539000731632484,41.90012036534422,5.694481278781011,6.2603864204970865,18.752008218063665,1.1892234553931988,13.238134078478758,0.20431082286568458,4.9005882174726345,1.3791051128334546,0.48393942663932954,467.55223880597015,2024,2024
28059000000,292844000000,407350000000,24493000000,94000000,25472000000,31822000000,165471000000,76997000000,0,2024,0.09581551952575433,0.06888179698048362,270.97872340425533,3566000000,0.11206083841367608,2.149057755496967,2.149057755496967,-0.0158045253967046,-0.04075942927274841,-0.20352887708792267,0,-14.159217914384293,-26.671481400872587,24.480607937642418,-8.651280861198153,0.0001097685703200929,493000000.0,25000000.0,-0.016076419183872287,-0.218436113207009,-6.724235708642146,0.0107209552654155,0.09927940271057273,1,0,0,GOOGL,2024-03-31,Google,28848000000,16836000000,23662000000,80539000000,-12012000000,46827000000,1.91,33712000000,58.14201815269621,29.37955524652653,31.62691366915407,0.023715218713914996,41.85798184730379,5.808763962194672,5.953200811460161,42.60089064881214,1.2060800900706496,32.1862404697574,0.19771449613354608,4.68099630429748,1.3910136454904318,0.6000213835133112,338.531914893617,2024,2024
27121000000,283379000000,402392000000,24048000000,69000000,23697000000,26044000000,171530000000,81814000000,0,2023,0.09570575095543424,0.0673994512813376,343.4347826086956,3073000000,0.1179926278605437,2.096584936563424,2.096584936563424,-0.020162666809572946,-0.24584728257886296,-0.28140929143080395,1,-17.401348183130338,-67.57018005032903,70.20446274660026,-11.833892955584036,-0.010611186695095406,4729000000.0,-47000000.0,-0.017136262278018982,-0.14847850741379637,-7.340268748370871,-0.007944479004775087,0.1036687779822713,0,0,0,GOOGL,2023-12-31,Google,18915000000,7896000000,20687000000,86310000000,-11019000000,48735000000,1.66,37575000000,56.465067778936394,23.96825396825397,27.455683003128257,0.019232997335187116,43.53493222106361,5.141006779458836,5.7239130434782615,37.832112470071365,-0.6045647715838394,20.11938310030008,0.21449233583172628,3.022207757258122,1.4199781917502707,0.2911397072379337,377.4492753623188,2023,2023
29046000000,273202000000,396711000000,30702000000,116000000,21343000000,24484000000,176310000000,86295000000,2957000000,2023,0.10631693765052964,0.07321702700454487,183.99137931034483,-1656000000,-0.06763600718836792,2.0431079436815573,2.0088417637174807,-0.007717112486285982,-0.40806780306668,-0.4744961424670655,1,-6.76737560143409,-119.86771153789186,8.451294486984695,-18.84713109093097,-0.002666707690320319,-4841000000.0,73000000.0,-0.007598676475660732,-0.22422515447518965,,-3.0308108711352144e-05,0.10897354263794619,0,1,0,GOOGL,2023-09-30,Google,30656000000,22601000000,19689000000,76693000000,-8055000000,43464000000,1.57,33229000000,56.67270806983689,25.672486406842864,27.829136948613304,0.020471229447276806,43.32729193016312,4.963058750576616,5.296064820941743,27.8246306748976,-0.4876713812875302,16.43945320707696,0.19332209089236246,0.241135981941909,1.4520794137671027,0.7781105832128348,211.06896551724137,2023,2023
29114000000,267141000000,383044000000,25929000000,43000000,21838000000,24770000000,168788000000,77709000000,2231000000,2023,0.10898364534084996,0.07600693392926139,507.86046511627904,3185000000,0.1285829632620105,2.1720521432523903,2.1433424699841717,-0.0034903679471200016,-0.3407160452612109,-0.6373979333522319,1,-3.1032661190665722,-72.60105797652712,116.68852415900459,-22.687640498049465,-0.002636399581608967,-12000000.0,-37000000.0,-0.008811484413112108,-0.045535248367198494,,0.0016119732609392867,0.11215736934277203,0,1,0,GOOGL,2023-06-30,Google,28666000000,21778000000,18368000000,74604000000,-6888000000,42688000000,1.45,31916000000,57.21945204010509,24.62066377137955,29.271888906761028,0.01943595517666613,42.78054795989491,4.795271561491631,5.528514286678706,6.4372284444697225,-0.7281983404425523,7.672218442186751,0.19476613652739633,-0.7275450922246351,1.433864513496618,0.7480250051521605,576.046511627907,2023,2023
