operating_cash_flow,capital_expenditures,free_cash_flow,net_income,revenue,working_capital_change,dividend_payout,share_buybacks,year,fcf_to_net_income,fcf_margin,total_capital_return,cash_conversion_cycle,fcf_margin_trend_1yr,fcf_trend_4q,fcf_margin_velocity_qoq,fcf_velocity_qoq,ocf_velocity_qoq,fcf_margin_acceleration,symbol,date,company,gross_profit,eps,cost_of_revenue,total_debt,total_equity,total_assets,cash,interest_expense,operating_income,ebitda,current_assets,current_liabilities,inventory,gross_margin,net_margin,operating_margin,eps_to_revenue,cost_efficiency,ocf_to_revenue,ocf_to_revenue_yoy,fcf_to_revenue,capex_intensity,capex_intensity_trend,dio,working_capital_to_revenue,year_x,year_y
23751000000,-1636000000,22115000000,31910000000,57006000000,2368000000,0,-12456000000,2025,0.693042933249765,38.79416201803319,-12456000000,285.2526926990141,-9.133550199058192,1.0,9.977012926190561,64.17965850037119,54.57858769931663,40.59202760358219,NVDA,2025-10-26,Nvidia,41849000000,1.31,15157000000,10822000000,118897000000,161148000000,11486000000,61000000,36010000000,38748000000,116492000000,26075000000,19784000000,73.41157071185489,55.976563870469775,63.16878925025436,0.02298003718906782,26.58842928814511,41.66403536469846,-17.07847684436653,38.79416201803319,2.8698733466652633,0.5524456059435257,476.4240944777991,1.586096200399958,2025,2025
15365000000,-1895000000,13470000000,26422000000,46743000000,-11022000000,0,-9720000000,2025,0.5098024373628037,28.81714909184263,-9720000000,263.19855379415094,-16.159548644508895,0.0,-30.615014677391628,-48.562263718639024,-43.951995330852846,-50.505849723735544,NVDA,2025-07-27,Nvidia,33853000000,1.08,12890000000,10598000000,100131000000,140740000000,11639000000,62000000,28440000000,31937000000,102219000000,24257000000,14962000000,72.4236784117408,56.52611086151937,60.84333483088377,0.02310506385982928,27.576321588259205,32.87123205613675,-31.843469701384052,28.81714909184263,4.0540829642941185,0.8017527379292719,423.6718386346005,1.667886100592602,2025,2025
27414000000,-1227000000,26187000000,18775000000,44062000000,8654000000,0,-14095000000,2025,1.394780292942743,59.43216376923426,-14095000000,216.4883573146929,1.9294760100574848,1.0,19.890835046343916,68.38348765432099,64.85657586144686,28.277218540544958,NVDA,2025-04-27,Nvidia,26668000000,0.77,17394000000,10285000000,83843000000,125254000000,15234000000,63000000,21638000000,22584000000,89935000000,26542000000,11333000000,60.52380736235305,42.61041260042667,49.10807498524806,0.017475375607099088,39.47619263764695,62.216876219872,5.596371734789596,59.43216376923426,2.7847124506377376,1.3678793988791753,237.8144762561803,1.438722708910172,2025,2025
16629000000,-1077000000,15552000000,22091000000,39331000000,-5863000000,0,-7811000000,2025,0.7039971028925807,39.54132872289034,-7811000000,249.0344766214945,-11.334118049041066,1.0,-8.386383494201041,-7.505650053526825,-5.661768877290518,-11.337397974940899,NVDA,2025-01-26,Nvidia,28723000000,0.9,10608000000,10270000000,79327000000,111601000000,8589000000,61000000,24034000000,25821000000,80126000000,18047000000,10080000000,73.02890849457171,56.16689125626097,61.10701482291322,0.02288271338130228,26.97109150542829,42.27962675751951,-18.731490545138385,39.54132872289034,2.7382980346291728,1.5891327629465957,346.83257918552033,1.5783732933309602,2025,2025
17627000000,-813000000,16814000000,19309000000,35082000000,-2694000000,0,-10997000000,2024,0.8707856440002072,47.92771221709138,-10997000000,208.02149250327804,8.998352393691825,1.0,2.9510144807398575,24.446747094959665,21.666206515737162,15.477004503565105,NVDA,2024-10-27,Nvidia,26156000000,0.79,8926000000,10225000000,65899000000,96013000000,9107000000,61000000,21869000000,22855000000,67640000000,16479000000,7654000000,74.55675275069837,55.0396214582977,62.33681090017673,0.022518670543298556,25.44324724930164,50.24513995781312,24.17375014124028,47.92771221709138,2.3174277407217376,0.7832114051808987,312.9856598700426,1.458326207171769,2024,2024
14488000000,-977000000,13511000000,16599000000,30040000000,-1660000000,0,-7158000000,2024,0.813964696668474,44.976697736351525,-7158000000,208.10103195739012,0.1184760735100312,1.0,-12.525990022825248,-9.782318376068378,-5.5848810687520345,-19.153231010070613,NVDA,2024-07-28,Nvidia,22574000000,0.68,7466000000,10015000000,58157000000,85227000000,8563000000,61000000,18642000000,19708000000,59633000000,13969000000,6675000000,75.14647137150466,55.25632490013316,62.0572569906791,0.02263648468708389,24.85352862849534,48.22902796271638,2.6196409408333343,44.976697736351525,3.2523302263648466,1.112698924077144,326.32935976426467,1.5201065246338217,2024,2024
15345000000,-369000000,14976000000,14881000000,26044000000,834000000,0,-7740000000,2024,1.0063839795712655,57.50268775917677,-7740000000,217.42474274305022,20.475435256395905,1.0,6.627240987245365,33.179190751445084,33.44638664231672,-5.318845961286485,NVDA,2024-04-28,Nvidia,20406000000,0.6,5638000000,11237000000,49142000000,77072000000,7587000000,64000000,16909000000,17753000000,53729000000,15223000000,5864000000,78.35201965903855,57.13792044232837,64.92474274305022,0.023037935800952234,21.64798034096145,58.919520810935346,45.56825615673203,57.50268775917677,1.4168330517585623,-2.031442810310403,379.6310748492373,1.4784979265857778,2024,2024
11499000000,-254000000,11245000000,12285000000,22103000000,-1719000000,0,-2659000000,2024,0.9153439153439153,50.87544677193141,-2659000000,207.77405782020543,22.136395375468013,1.0,11.94608694853185,59.413098950949816,56.83306055646482,17.874948787973786,NVDA,2024-01-28,Nvidia,16791000000,0.5,5312000000,11056000000,42978000000,65728000000,7280000000,63000000,13614000000,14556000000,44345000000,10631000000,5282000000,75.9670632945754,55.58069040401755,61.59344885309687,0.022621363615798758,24.032936705424603,52.02461204361399,40.035999766863114,50.87544677193141,1.149165271682577,-7.262667483233965,362.9386295180723,1.5253133058860788,2024,2024
7332000000,-278000000,7054000000,9243000000,18120000000,-2733000000,0,-3807000000,2023,0.7631721302607378,38.92935982339956,-3807000000,215.69646799116995,41.256117537107194,1.0,-5.928861839441936,16.421851790724553,15.500945179584114,-13.759830999502562,NVDA,2023-10-29,Nvidia,13400000000,0.38,4720000000,11027000000,33265000000,54148000000,5519000000,63000000,10417000000,10957000000,32658000000,9101000000,4779000000,73.9514348785872,51.00993377483444,57.48896247240618,0.02097130242825607,26.048565121412803,40.4635761589404,512.218036221111,38.92935982339956,1.534216335540839,-7.401882130147914,369.5625,1.3000551876379691,2023,2023
6348000000,-289000000,6059000000,6188000000,13507000000,-174000000,0,-3067000000,2023,0.979153199741435,44.858221662841494,-3067000000,255.5297253276079,32.373138130621925,1.0,7.830969160060626,127.52534735260986,118.06939196152526,-0.45723194625684727,NVDA,2023-07-30,Nvidia,9462000000,0.25,4045000000,10954000000,27501000000,49555000000,5783000000,65000000,6800000000,7411000000,28797000000,10334000000,4319000000,70.0525653364922,45.813282001924925,50.344265936181245,0.018508921300066632,29.94743466350781,46.9978529651292,148.0894537623828,44.858221662841494,2.1396313022877025,-4.319199246638313,389.72435105067984,1.366920855852521,2023,2023
2911000000,-248000000,2663000000,2043000000,7192000000,904000000,0,0,2023,1.3034752814488497,37.02725250278087,0,383.16879866518354,20.49732972285809,1.0,8.288201106317473,53.13398504887867,29.49288256227758,-22.77760800385356,NVDA,2023-04-30,Nvidia,4648000000,0.083,2544000000,12080000000,24520000000,44460000000,5079000000,66000000,2140000000,2659000000,24883000000,7260000000,4611000000,64.62736373748609,28.406562847608452,29.75528364849833,0.011540600667408231,35.37263626251391,40.475528364849836,93.79617509409326,37.02725250278087,3.4482758620689653,-0.9074191186260157,661.5625,2.450361512791991,2023,2023
2248000000,-509000000,1739000000,1414000000,6051000000,287000000,0,-1213000000,2023,1.22984441301273,28.739051396463395,-1213000000,470.07849942158316,-7.37242315541414,1.0,31.065809110171035,-1360.1449275362318,473.46938775510205,45.87765035609824,NVDA,2023-01-29,Nvidia,3833000000,0.0574,2218000000,12031000000,22101000000,41182000000,3389000000,64000000,1256000000,1778000000,23073000000,6563000000,5159000000,63.34490166914559,23.36803834077012,20.756899686002313,0.009486035366055197,36.6550983308544,37.150884151379934,-6.381731760963783,28.739051396463395,8.411832754916542,4.8399369025025685,848.9788097385032,2.728474632292183,2023,2023
392000000,-530000000,-138000000,680000000,5931000000,-873000000,0,-3485000000,2022,-0.20294117647058824,-2.326757713707638,-3485000000,484.38964761423034,-20.586647900952464,0.0,-14.811841245927209,-116.48745519713262,-69.13385826771655,-10.767001998224002,NVDA,2022-10-30,Nvidia,3177000000,0.027,2754000000,11748000000,21349000000,40488000000,2800000000,65000000,601000000,1084000000,23223000000,6855000000,4454000000,53.566009104704094,11.4651829371101,10.13319844882819,0.004552352048558422,46.4339908952959,6.609340751981116,-69.09404387009752,-2.326757713707638,8.936098465688753,5.81065851074014,590.3086419753087,2.759736975214972,2022,2022
1270000000,-433000000,837000000,656000000,6704000000,29000000,0,-3345000000,2022,1.2759146341463414,12.485083532219571,-3345000000,369.410053699284,-25.919711304110542,0.0,-4.044839247703207,-38.90510948905109,-26.632004621606008,15.53671252425155,NVDA,2022-07-31,Nvidia,2915000000,0.026,3789000000,11692000000,23851000000,43476000000,3013000000,65000000,499000000,918000000,27418000000,7573000000,3889000000,43.48150357995227,9.785202863961814,7.443317422434367,0.0038782816229116944,56.51849642004774,18.943914081145586,-54.038758789703834,12.485083532219571,6.458830548926015,3.646474624536895,374.6331485880179,2.960173031026253,2022,2022
1731000000,-361000000,1370000000,1618000000,8288000000,-1650000000,0,-1996000000,2022,0.8467243510506799,16.529922779922778,-1996000000,290.749276061776,-11.309681530269767,0.0,-19.581551771954757,-50.36231884057971,-42.92779426310583,-37.433136136587464,NVDA,2022-05-01,Nvidia,5431000000,0.065,2857000000,11699000000,26320000000,45212000000,3887000000,68000000,1868000000,2207000000,29575000000,5562000000,3163000000,65.5284749034749,19.522200772200772,22.538610038610038,0.007842664092664093,34.4715250965251,20.885617760617762,-36.908494053971644,16.529922779922778,4.355694980694981,-0.9083926363338124,404.0934546727336,2.8973214285714284,2022,2022
