revenue,year,revenue_growth_yoy,revenue_growth_qoq,revenue_cagr_2yr,revenue_growth_vs_industry,revenue_growth_trend,operating_margin_change_1yr,operating_margin_momentum,roe_change_1yr,roe_trend_2yr,ocf_to_ni_ratio,fcf_to_ni_ratio,quality_of_earnings,reinvestment_rate,growth_capex_pct,revenue_growth_velocity,revenue_velocity_qoq,revenue_growth_acceleration,growth_momentum_positive,growth_deceleration_warning,operating_margin_trend_1yr,operating_margin_velocity_qoq,operating_margin_acceleration,margin_momentum_positive,is_margin_expanding,revenue_growth_trend_4q,is_growth_accelerating,net_income,gross_profit,cost_of_revenue,operating_income,eps,gross_margin,net_margin,cost_efficiency,eps_to_revenue,net_income_growth_yoy,gross_profit_growth_yoy,eps_growth_yoy,gross_margin_change_1yr,net_margin_trend_1yr,is_profitability_improving,symbol,date,company,operating_cash_flow,free_cash_flow,capital_expenditures,total_debt,total_equity,total_assets,cash,interest_expense,ebitda,current_assets,current_liabilities,inventory,operating_margin,gross_margin_trend_2yr,operating_margin_trend_2yr,net_margin_trend_2yr,roe_decomposed,earnings_stability,operating_leverage,year_x,year_y
57006000000,2025,62.49358645459211,21.95622874013221,214.60264900662253,0,1,0.8319783500776339,2.325454419370594,-2.4625439740405604,-0.6141918908890347,0.7443121278596051,0.693042933249765,0.7443121278596051,0.06888131026062061,50,6.8910564945388515,21.95622874013221,20.47144774474514,1,0,0.8319783500776339,2.325454419370594,-9.409805426265116,0,0,-31.115685068586707,0,31910000000,41849000000,15157000000,36010000000,1.31,73.41157071185489,55.976563870469775,26.58842928814511,0.02298003718906782,65.25972344502564,59.99770607126471,65.82278481012658,-1.1451820388434726,0.9369424121720726,1,NVDA,2025-10-26,Nvidia,23751000000,22115000000,-1636000000,10822000000,118897000000,161148000000,11486000000,61000000,38748000000,116492000000,26075000000,19784000000,63.16878925025436,-0.5398641667323005,5.679826777848184,4.966630095635338,0.26838355887869336,0.31517141897796924,1.034703095856421,2025,2025
46743000000,2025,55.60252996005326,6.084608052289964,246.06500333160582,0,0,-1.213922159795331,11.73525984563571,-2.1542736080232707,-0.5629533438888183,0.5815229732798426,0.5098024373628037,0.5815229732798426,0.12333224861698666,50,-13.58039125020629,6.084608052289964,-4.819141985869635,0,0,-1.213922159795331,11.73525984563571,23.734199683300872,1,0,-66.80066838154738,0,26422000000,33853000000,12890000000,28440000000,1.08,72.4236784117408,56.52611086151937,27.576321588259205,0.02310506385982928,59.17826375082835,49.96456099937983,58.823529411764696,-2.722792959763865,1.2697859613862121,1,NVDA,2025-07-27,Nvidia,15365000000,13470000000,-1895000000,10598000000,100131000000,140740000000,11639000000,62000000,31937000000,102219000000,24257000000,14962000000,60.84333483088377,2.3711130752486014,10.499068894702525,10.712828859594445,0.26387432463472854,0.31282429982712656,0.945258037189259,2025,2025
44062000000,2025,69.18292121025955,12.028679667437903,512.6529477196885,0,0,-15.816667757802158,-11.998939837665162,-7.88858867714972,-0.0004261030447434892,1.460133155792277,1.394780292942743,1.460133155792277,0.04475815276865835,50,-8.761249264336655,12.028679667437903,6.903851784245958,1,0,-15.816667757802158,-11.998939837665162,-10.769143760401654,0,0,-192.9416616595958,0,18775000000,26668000000,17394000000,21638000000,0.77,60.52380736235305,42.61041260042667,39.47619263764695,0.017475375607099088,26.167596263691962,30.687052827599715,28.333333333333343,-17.8282122966855,-14.527507841901702,0,NVDA,2025-04-27,Nvidia,27414000000,26187000000,-1227000000,10285000000,83843000000,125254000000,15234000000,63000000,22584000000,89935000000,26542000000,11333000000,49.10807498524806,-4.103556375133046,19.35279133674973,14.203849752818218,0.2239304414202736,0.36160207866315214,0.40425229484310443,2025,2025
39331000000,2025,77.9441704745962,12.111624194743742,549.9917369029912,0,0,-0.48643403018364495,-1.229796077263508,-0.736370533812611,2.0782893800230933,0.7527499886831741,0.7039971028925807,0.7527499886831741,0.06476637200072163,50,-15.665101048582613,12.111624194743742,13.12882576983921,1,0,-0.48643403018364495,-1.229796077263508,-1.509349986761137,0,0,-187.33429589459894,0,22091000000,28723000000,10608000000,24034000000,0.9,73.02890849457171,56.16689125626097,26.97109150542829,0.02288271338130228,79.82091982091981,71.06187838723126,80.0,-2.9381548000036872,0.5862008522434152,1,NVDA,2025-01-26,Nvidia,16629000000,15552000000,-1077000000,10270000000,79327000000,111601000000,8589000000,61000000,25821000000,80126000000,18047000000,10080000000,61.10701482291322,9.684006825426117,40.35011513691091,32.79885291549085,0.2784802148070644,0.5268223029139905,0.9819702563112878,2025,2025
35082000000,2024,93.60927152317882,16.784287616511318,491.5022761760243,0,0,4.8478484277705505,0.27955390949762915,1.5149386414078592,3.398928397914153,0.9128903620073541,0.8707856440002072,0.9128903620073541,0.04612242582401997,50,-28.793926818421824,16.784287616511318,110.92745770983291,1,0,4.8478484277705505,0.27955390949762915,3.147039661868746,1,1,-111.90413262451969,0,19309000000,26156000000,8926000000,21869000000,0.79,74.55675275069837,55.0396214582977,25.44324724930164,0.022518670543298556,108.90403548631396,95.19402985074628,107.89473684210526,0.605317872111172,4.029687683463266,1,NVDA,2024-10-27,Nvidia,17627000000,16814000000,-813000000,10225000000,65899000000,96013000000,9107000000,61000000,22855000000,67640000000,16479000000,7654000000,62.33681090017673,20.99074364599427,52.20361245134854,43.5744385211876,0.29300899861909896,0.6504936463601257,1.174410186825914,2024,2024
30040000000,2024,122.40319834160064,15.343265243434189,348.090692124105,0,0,11.712991054497856,-2.867485752371117,6.040706107858433,4.320913014053707,0.8728236640761492,0.813964696668474,0.8728236640761492,0.06743511871893981,50,-139.72138452825473,15.343265243434189,-136.56750102891496,0,0,11.712991054497856,-2.867485752371117,-6.198779642324467,0,1,20.926468031338118,1,16599000000,22574000000,7466000000,18642000000,0.68,75.14647137150466,55.25632490013316,24.85352862849534,0.02263648468708389,168.2449903038138,138.57535404777002,172.00000000000003,5.093906035012466,9.443042898208233,1,NVDA,2024-07-28,Nvidia,14488000000,13511000000,-977000000,10015000000,58157000000,85227000000,8563000000,61000000,19708000000,59633000000,13969000000,6675000000,62.0572569906791,31.664967791552392,54.61393956824473,45.471122036171344,0.28541706071496126,0.7944156107836795,1.4227329120724685,2024,2024
26044000000,2024,262.1245828698554,17.830158801972583,214.23745173745172,0,0,35.16945909455188,3.3312938899533506,21.949658920319003,4.738665855810604,1.0311807002217592,1.0063839795712655,1.0311807002217592,0.02404692082111437,50,-3.15388349933977,17.830158801972583,-62.918945720836405,0,0,35.16945909455188,3.3312938899533506,-0.7731924907373369,0,1,275.3485210937936,1,14881000000,20406000000,5638000000,16909000000,0.6,78.35201965903855,57.13792044232837,21.64798034096145,0.023037935800952234,628.3896231032795,339.0275387263339,622.8915662650602,13.724655921552454,28.73135759471992,1,NVDA,2024-04-28,Nvidia,15345000000,14976000000,-369000000,11237000000,49142000000,77072000000,7587000000,64000000,17753000000,53729000000,15223000000,5864000000,64.92474274305022,12.823544755563645,42.38613270444018,37.6157196701276,0.30281632819177084,0.951590734185131,2.6328709019197247,2024,2024
22103000000,2024,265.27846636919514,21.981236203090514,189.19272536961924,0,1,40.83654916709455,4.1044863806906875,22.186491467032514,4.072835499058998,0.936019536019536,0.9153439153439153,0.936019536019536,0.02208887729367771,50,59.765062221496635,21.981236203090514,-44.27161161593935,0,1,40.83654916709455,4.1044863806906875,-3.040210155534247,0,1,286.107983574481,1,12285000000,16791000000,5312000000,13614000000,0.5,75.9670632945754,55.58069040401755,24.032936705424603,0.022621363615798758,768.8118811881187,338.06417949386906,771.0801393728224,12.622161625429804,32.21265206324743,1,NVDA,2024-01-28,Nvidia,11499000000,11245000000,-254000000,11056000000,42978000000,65728000000,7280000000,63000000,14556000000,44345000000,10631000000,5282000000,61.59344885309687,10.560809205866775,22.734362107054736,16.289836027463842,0.28584392014519056,1.0436532529841653,3.708997608885771,2024,2024
18120000000,2023,205.5134041476985,34.15266158288295,155.10347740391387,0,1,47.35576402357799,7.144696536224934,24.600800323036108,2.586147623594253,0.7932489451476793,0.7631721302607378,0.7932489451476793,0.03791598472449536,50,104.03667383743598,34.15266158288295,-10.66399469676476,0,1,47.35576402357799,7.144696536224934,-13.44428575145798,0,1,222.01347454049028,1,9243000000,13400000000,4720000000,10417000000,0.38,73.9514348785872,51.00993377483444,26.048565121412803,0.02097130242825607,1259.264705882353,321.7815549260308,1307.4074074074074,20.3854257738831,39.54475083772434,1,NVDA,2023-10-29,Nvidia,7332000000,7054000000,-278000000,11027000000,33265000000,54148000000,5519000000,63000000,10957000000,32658000000,9101000000,4779000000,57.48896247240618,8.753631133690675,19.885133104533445,16.320365986575958,0.2778596122050203,0.9832160753428042,7.947305807082543,2023,2023
13507000000,2023,101.47673031026252,87.8058954393771,107.57645612417397,0,1,42.900948513746876,20.588982287682914,19.75059117574619,0.8506485727806231,1.0258564964447316,0.979153199741435,1.0258564964447316,0.045526149968494016,50,114.70066853420074,87.8058954393771,107.09508955285308,1,0,42.900948513746876,20.588982287682914,11.590598325186896,1,1,98.44922147362506,1,6188000000,9462000000,4045000000,6800000000,0.25,70.0525653364922,45.813282001924925,29.94743466350781,0.018508921300066632,843.2926829268293,224.59691252144083,861.5384615384615,26.571061756539926,36.02807913796311,1,NVDA,2023-07-30,Nvidia,6348000000,6059000000,-289000000,10954000000,27501000000,49555000000,5783000000,65000000,7411000000,28797000000,10334000000,4319000000,50.344265936181245,5.276170684578872,12.784714683683937,9.329495310669351,0.22500999963637683,0.7897868679350761,12.443497608181232,2023,2023
