operating_cash_flow,capital_expenditures,free_cash_flow,net_income,revenue,working_capital_change,dividend_payout,share_buybacks,year,fcf_to_net_income,fcf_margin,total_capital_return,cash_conversion_cycle,fcf_margin_trend_1yr,fcf_trend_4q,fcf_margin_velocity_qoq,fcf_velocity_qoq,ocf_velocity_qoq,fcf_margin_acceleration,symbol,date,company,gross_profit,eps,cost_of_revenue,total_debt,total_equity,total_assets,cash,interest_expense,operating_income,ebitda,current_assets,current_liabilities,inventory,gross_margin,net_margin,operating_margin,eps_to_revenue,cost_efficiency,ocf_to_revenue,ocf_to_revenue_yoy,fcf_to_revenue,capex_intensity,capex_intensity_trend,dio,working_capital_to_revenue,year_x,year_y
430000000,-175000000,255000000,297000000,2159000000,-188000000,0,-21000000,2025,0.8585858585858586,11.811023622047244,-21000000,-79.79620194534506,10.705542277044941,0.0,-6.94482296354677,-36.408977556109726,-21.245421245421248,-23.137806879895138,SIRI,2025-09-30,Sirius XM,1061000000,0.88,1098000000,10077000000,11556000000,27401000000,79000000,115000000,493000000,644000000,1084000000,3461000000,0,49.14312181565539,13.756368689207967,22.83464566929134,0.40759610930986573,50.8568781843446,19.916628068550253,80.16249807009414,11.811023622047244,8.10560444650301,-1.843727658517718,0.0,-1.1009726725335804,2025,2025
546000000,-145000000,401000000,205000000,2138000000,43000000,0,-45000000,2025,1.9560975609756097,18.755846585594014,-45000000,-85.01870907390085,4.247122985961322,1.0,16.192983916348368,656.6037735849056,125.61983471074379,37.121894556060674,SIRI,2025-06-30,Sirius XM,1000000000,0.61,1138000000,10197000000,11329000000,27326000000,92000000,116000000,365000000,511000000,1045000000,2570000000,0,46.77268475210477,9.588400374181479,17.07202993451824,0.2853133769878391,53.22731524789523,25.537885874649202,13.745430337394593,18.755846585594014,6.7820392890551915,-1.1610277449209345,0.0,-0.7132834424695977,2025,2025
242000000,-189000000,53000000,204000000,2068000000,-205000000,0,-25000000,2025,0.25980392156862747,2.5628626692456478,-25000000,-97.6039651837524,-1.599949541670171,0.0,-20.928910639712306,-89.6887159533074,-64.35935198821797,-43.315202603667956,SIRI,2025-03-31,Sirius XM,964000000,0.6,1104000000,10466000000,11212000000,27426000000,127000000,117000000,387000000,541000000,1045000000,2479000000,0,46.61508704061896,9.864603481624759,18.713733075435204,0.2901353965183752,53.38491295938105,11.702127659574469,-4.1666666666666625,2.5628626692456478,9.13926499032882,1.0911613825582371,0.0,-0.6934235976789168,2025,2025
679000000,-165000000,514000000,287000000,2188000000,153000000,0,-6000000,2024,1.7909407665505226,23.491773308957953,-6000000,-101.42595978062155,4.2172977844824295,1.0,22.38629196395565,2041.6666666666667,182.91666666666666,35.78953421858604,SIRI,2024-12-31,Sirius XM,1050000000,0.85,1138000000,10423000000,11074000000,27521000000,162000000,117000000,505000000,645000000,1149000000,2731000000,0,47.98903107861061,13.117001828153565,23.080438756855575,0.3884826325411334,52.0109689213894,31.03290676416819,24.349020449066217,23.491773308957953,7.541133455210238,1.8593152733920562,0.0,-0.7230347349177331,2024,2024
240000000,-216000000,24000000,-2456000000,2171000000,-199000000,0,-19000000,2024,-0.009771986970684038,1.105481345002303,-19000000,-84.73514509442654,-12.632959870321343,0.0,-13.403242254630388,-92.40506329113924,-50.920245398773,-23.749153643347263,SIRI,2024-09-30,Sirius XM,1055000000,-7.24,1116000000,10726000000,10859000000,27483000000,127000000,124000000,-2901000000,-2719000000,1133000000,3061000000,0,48.5951174573929,-113.12759097190235,-133.6250575771534,-3.3348687240902812,51.40488254260709,11.054813450023032,-49.789037309995386,1.105481345002303,9.949332105020728,1.6710406034795575,0.0,-0.8880700138185168,2024,2024
489000000,-173000000,316000000,304000000,2178000000,-45000000,0,-199000000,2024,1.0394736842105263,14.508723599632692,-199000000,-79.43526170798899,0.15316804407713747,1.0,10.345911388716873,251.11111111111111,85.22727272727273,25.457574702276577,SIRI,2024-06-30,Sirius XM,1063000000,0.77,1115000000,9390000000,-2113000000,11185000000,100000000,102000000,471000000,725000000,1100000000,2558000000,0,48.80624426078972,13.957759412304869,21.62534435261708,0.35353535353535354,51.19375573921029,22.451790633608816,12.01004196368034,14.508723599632692,7.943067033976126,2.254178145087237,0.0,-0.6694214876033058,2024,2024
264000000,-174000000,90000000,199000000,2162000000,-189000000,0,-17000000,2024,0.45226130653266333,4.162812210915819,-17000000,-93.86679000925068,-2.6002474905767183,0.0,-15.111663313559704,-79.59183673469387,-53.76532399299474,-20.647697622711583,SIRI,2024-03-31,Sirius XM,1035000000,0.59,1127000000,9577000000,-2370000000,11174000000,71000000,104000000,409000000,604000000,1078000000,3088000000,0,47.87234042553192,9.204440333024976,18.917668825161886,0.272895467160037,52.12765957446809,12.210915818686402,-25.199418527818164,4.162812210915819,8.048103607770583,-1.5134635564085208,0.0,-0.9296947271045328,2024,2024
571000000,-130000000,441000000,172000000,2288000000,-36000000,0,-12000000,2023,2.563953488372093,19.274475524475523,-12000000,-94.75961538461537,-3.896790353754877,1.0,5.536034309151876,41.346153846153854,14.19999999999999,6.153148649383784,SIRI,2023-12-31,Sirius XM,970000000,0.45,1318000000,11490000000,10076000000,30056000000,306000000,104000000,515000000,555000000,1361000000,3951000000,0,42.39510489510489,7.517482517482517,22.508741258741257,0.1966783216783217,57.60489510489511,24.956293706293707,-15.717132349898622,19.274475524475523,5.681818181818182,-0.7570780074065233,0.0,-1.131993006993007,2023,2023
500000000,-188000000,312000000,234000000,2271000000,-18000000,0,-75000000,2023,1.3333333333333333,13.738441215323647,-75000000,-97.7190664905328,-0.6913833460798617,0.0,-0.6171143402319075,-3.4055727554179516,10.864745011086473,-8.209610194294925,SIRI,2023-09-30,Sirius XM,1127000000,0.94,1144000000,9685000000,-2893000000,10129000000,53000000,134000000,528000000,663000000,1041000000,3158000000,0,49.6257155438133,10.303830911492733,23.249669749009247,0.41391457507705853,50.3742844561867,22.016732716864816,21.84017134575673,13.738441215323647,8.27829150154117,4.637940624348188,0.0,-0.9321884632320564,2023,2023
451000000,-128000000,323000000,310000000,2250000000,-43000000,0,-137000000,2023,1.0419354838709678,14.355555555555554,-137000000,-85.00444444444443,-4.907649060511911,0.0,7.592495854063017,122.75862068965515,28.857142857142847,24.00070203080088,SIRI,2023-06-30,Sirius XM,1096000000,0.8,1154000000,9776000000,-3111000000,10078000000,51000000,107000000,479000000,629000000,1039000000,3235000000,0,48.71111111111111,13.777777777777779,21.288888888888888,0.35555555555555557,51.288888888888884,20.044444444444444,-15.271794871794864,14.355555555555554,5.688888888888889,1.2947477437490758,0.0,-0.976,2023,2023
