feature,importance
total_assets,0.073899165
capex_intensity_trend,0.05022862
total_equity,0.047861457
operating_income,0.039773934
cash,0.037786763
dividend_payout,0.03228187
ocf_to_revenue_yoy,0.03073736
current_liabilities,0.029869908
cost_of_revenue,0.029642161
gross_profit,0.027582295
total_debt,0.026592445
interest_expense,0.026495758
capex_intensity,0.024250764
current_assets,0.024053656
revenue,0.023494374
capital_expenditures,0.02337481
cash_conversion_cycle,0.022943959
net_margin,0.022491002
fcf_velocity_qoq,0.022289721
operating_cash_flow,0.021700585
share_buybacks,0.021659994
working_capital_change,0.021579273
eps,0.021502176
gross_margin,0.02109739
ocf_velocity_qoq,0.020790633
ebitda,0.020780385
fcf_to_revenue,0.019572034
dio,0.019547578
total_capital_return,0.019393457
fcf_margin_velocity_qoq,0.018315071
fcf_margin,0.017955083
free_cash_flow,0.017769717
working_capital_to_revenue,0.017642552
inventory,0.016886244
fcf_margin_trend_1yr,0.016574033
ocf_to_revenue,0.015773991
net_income,0.014645174
fcf_to_net_income,0.014214309
fcf_trend_4q,0.013658907
fcf_margin_acceleration,0.013291429
year_x,0.0
year_y,0.0
