revenue,year_x,revenue_growth_yoy,revenue_growth_qoq,revenue_cagr_2yr,revenue_growth_vs_industry,revenue_growth_trend,operating_margin_change_1yr,operating_margin_momentum,roe_change_1yr,roe_trend_2yr,ocf_to_ni_ratio,fcf_to_ni_ratio,quality_of_earnings,reinvestment_rate,growth_capex_pct,revenue_growth_velocity,revenue_velocity_qoq,revenue_growth_acceleration,growth_momentum_positive,growth_deceleration_warning,operating_margin_trend_1yr,operating_margin_velocity_qoq,operating_margin_acceleration,margin_momentum_positive,is_margin_expanding,revenue_growth_trend_4q,is_growth_accelerating,net_income,gross_profit,cost_of_revenue,operating_income,eps,gross_margin,net_margin,cost_efficiency,eps_to_revenue,net_income_growth_yoy,gross_profit_growth_yoy,eps_growth_yoy,gross_margin_change_1yr,net_margin_trend_1yr,is_profitability_improving,symbol,date,total_assets,total_equity,operating_margin,gross_margin_trend_2yr,operating_margin_trend_2yr,net_margin_trend_2yr,roe_decomposed,earnings_stability,operating_leverage,company,year_y,label,label_name
3771000000,1995,,,,0,0,,,,,3.141643059490085,2.9291784702549575,3.141643059490085,0.06762849413886383,50,,,,0,0,,,,0,0,,0,353000000,3468000000,303000000,498000000,0.23,91.96499602227526,9.360912224874038,8.035003977724742,0.060991779368867675,,,,,,0,AXP,1995-03-31,99737000000,6983000000,13.206046141607,,,,0.050551338966060434,,0.0,American Express Company,1995,1,HOLD
3967000000,1995,,5.197560328825235,,0,0,,1.2129102486123085,,,4.951219512195122,4.7682926829268295,4.951219512195122,0.03694581280788178,50,,5.197560328825235,,0,0,,1.2129102486123085,,0,0,,0,410000000,3648000000,319000000,572000000,0.27,91.95865893622384,10.335265944038316,8.041341063776153,0.0680615074363499,,,,,,0,AXP,1995-06-30,104178000000,7154000000,14.418956390219309,,,,0.05731059547106513,,0.0,American Express Company,1995,1,HOLD
4054000000,1995,,2.1930930173934993,,0,0,,-0.3341019254931137,,,1.7980769230769231,1.6201923076923077,1.7980769230769231,0.09893048128342247,50,,2.1930930173934993,,0,0,,-0.3341019254931137,-1.5470121741054221,0,0,,0,416000000,3744000000,310000000,571000000,0.28,92.35323137641835,10.261470152935374,7.646768623581648,0.06906758756783424,,,,,,0,AXP,1995-09-30,106312000000,7442000000,14.084854464726195,,,,0.05589895189465197,,0.0,American Express Company,1995,1,HOLD
4049000000,1995,,-0.12333497779970504,,0,0,,-0.698833224913896,,-0.1255471156948501,-2.1636363636363636,-2.483116883116883,-2.1636363636363636,-0.14765906362545017,50,,-0.12333497779970504,,0,0,,-0.698833224913896,-0.3647312994207823,0,0,,0,385000000,3739000000,310000000,542000000,0.26,92.34378858977526,9.508520622375896,7.656211410224747,0.06421338602123981,,,,,,0,AXP,1995-12-31,107405000000,8220000000,13.3860212398123,,,,0.04683698296836983,0.07332619532906114,0.0,American Express Company,1995,1,HOLD
3882000000,1996,2.9435163086714455,-4.124475179056553,,0,0,1.3483072844620363,1.1683321862567375,-0.10017894165108832,-0.12477191335716986,2.1565656565656566,1.9343434343434343,2.1565656565656566,0.10304449648711944,50,,-4.124475179056553,,0,0,1.3483072844620363,1.1683321862567375,1.8671654111706335,1,0,,0,396000000,3591000000,291000000,565000000,0.27,92.50386398763524,10.200927357032457,7.496136012364761,0.0695517774343122,12.181303116147312,3.5467128027681705,17.391304347826097,0.5388679653599837,0.8400151321584186,1,AXP,1996-03-31,107910000000,7992000000,14.554353426069037,,,,0.04954954954954955,0.06359668807305056,4.570661022468239,American Express Company,1996,1,HOLD
4044000000,1996,1.9410133602218327,4.173106646058722,,0,0,1.3080465771397396,1.1726495412900118,-0.04909851630827333,-0.002867857089197748,8.398230088495575,8.225663716814159,8.398230088495575,0.02054794520547945,50,-1.0025029484496129,4.173106646058722,,0,0,1.3080465771397396,1.1726495412900118,0.004317355033274239,1,0,,0,452000000,3735000000,309000000,636000000,0.32,92.35905044510386,11.177052423343223,7.640949554896142,0.07912957467853611,10.2439024390244,2.3848684210526327,18.518518518518512,0.40039150888001984,0.8417864793049077,1,AXP,1996-06-30,107647000000,7955000000,15.727002967359049,,,,0.0568196103079824,0.08239803338097249,5.764417400781029,American Express Company,1996,1,HOLD
4056000000,1996,0.049333991119882015,0.29673590504450953,,0,0,1.22579642284777,-0.41635207978508326,-0.03366566138076266,0.027505343832441683,-1.648471615720524,-1.9388646288209608,-1.648471615720524,-0.176158940397351,50,-1.8916793691019507,0.29673590504450953,-0.8891764206523378,0,0,1.22579642284777,-0.41635207978508326,-1.589001621075095,0,0,,0,458000000,3787000000,269000000,621000000,0.33,93.36785009861933,11.291913214990137,6.6321499013806715,0.08136094674556213,10.096153846153854,1.1485042735042805,17.85714285714286,1.0146187222009786,1.030443062054763,1,AXP,1996-09-30,106667000000,8243000000,15.310650887573965,,,,0.055562295280844345,0.09002390234959522,177.49562171628585,American Express Company,1996,1,HOLD
4255000000,1996,5.0876759693751605,4.906311637080862,,0,1,6.425964659130122,4.501335011368456,2.281592509917237,0.15529050545290415,1.7575757575757576,1.5235690235690236,1.7575757575757576,0.1331417624521073,50,5.0383419782552785,4.906311637080862,6.930021347357229,1,0,6.425964659130122,4.501335011368456,4.917687091153539,1,1,,0,594000000,4008000000,247000000,843000000,0.41,94.19506462984724,13.960047003525263,5.804935370152761,0.09635722679200939,54.28571428571429,7.194437015244715,57.692307692307686,1.8512760400719799,4.4515263811493675,1,AXP,1996-12-31,108512000000,8528000000,19.81198589894242,,,,0.06965290806754221,0.16970611597760152,10.91560384050441,American Express Company,1996,1,HOLD
4164000000,1997,7.264296754250377,-2.138660399529968,10.421638822593483,0,1,0.8154832694160756,-4.4421492034573085,0.4614134535394383,0.0954611891160231,2.9273127753303965,2.806167400881057,2.9273127753303965,0.04138449962377728,50,2.176620784875216,-2.138660399529968,-2.8617211933800624,0,1,0.8154832694160756,-4.4421492034573085,-8.943484214825764,0,0,4.320780445578931,1,454000000,3969000000,195000000,640000000,0.32,95.31700288184439,10.902977905859752,4.68299711815562,0.07684918347742556,14.64646464646464,10.526315789473696,18.518518518518512,2.813138894209146,0.7020505488272946,1,AXP,1997-03-31,108105000000,8382000000,15.369836695485112,3.35200685956913,2.163790553878112,1.5420656809857132,0.054163684084943924,0.14828104574742718,1.8273394840896275,American Express Company,1997,1,HOLD
4422000000,1997,9.347181008902083,6.195965417867444,11.469624401310806,0,1,0.14816663915384076,0.5053329110277769,0.21105800818634712,0.13917254235246196,2.1596153846153845,1.9173076923076924,2.1596153846153845,0.11219946571682991,50,2.082884254651707,6.195965417867444,-0.09373653022350936,0,1,0.14816663915384076,0.5053329110277769,4.947482114485085,1,0,7.406167648680251,1,520000000,4184000000,238000000,702000000,0.37,94.61781999095432,11.759384893713252,5.382180009045681,0.08367254635911353,15.04424778761062,12.021419009370815,15.625,2.2587695458504555,0.5823324703700283,1,AXP,1997-06-30,113927000000,8824000000,15.87516960651289,2.6591610547304754,1.4562132162935804,1.424118949674936,0.058930190389845885,0.15017450167182494,1.1102126385145255,American Express Company,1997,1,HOLD
