feature,importance
current_liabilities,0.04935846
revenue_cagr_2yr,0.035436433
current_assets,0.03510825
operating_cash_flow,0.0344526
operating_margin_trend_2yr,0.032154087
revenue_growth_trend_4q,0.031939395
roe_decomposed,0.029901652
gross_profit,0.027473899
gross_margin_trend_2yr,0.027456013
cost_of_revenue,0.027097829
cash,0.026666556
revenue_growth_trend,0.026130954
revenue,0.025989333
total_debt,0.024819473
net_margin_trend_2yr,0.022773663
free_cash_flow,0.022444721
capital_expenditures,0.0218324
total_equity,0.021339258
operating_income,0.020584313
total_assets,0.020137709
interest_expense,0.018126808
inventory,0.016661087
eps,0.016451236
operating_leverage,0.016040467
revenue_growth_acceleration,0.01600269
revenue_growth_qoq,0.015987953
ebitda,0.015638553
is_growth_accelerating,0.015475976
cost_efficiency,0.014946322
operating_margin,0.0144209545
gross_margin_change_1yr,0.014285919
revenue_velocity_qoq,0.013843865
reinvestment_rate,0.012889401
quality_of_earnings,0.0126344515
operating_margin_velocity_qoq,0.012612951
gross_margin,0.012587993
roe_change_1yr,0.012585615
operating_margin_change_1yr,0.01250613
eps_growth_yoy,0.012145318
operating_margin_momentum,0.01196987
roe_trend_2yr,0.011881114
operating_margin_trend_1yr,0.011536183
revenue_growth_yoy,0.011252009
revenue_growth_velocity,0.010978269
eps_to_revenue,0.0109101655
earnings_stability,0.010643586
gross_profit_growth_yoy,0.010487012
fcf_to_ni_ratio,0.010261956
net_margin_trend_1yr,0.0097805895
ocf_to_ni_ratio,0.009602174
net_income,0.0094215255
net_income_growth_yoy,0.009401219
operating_margin_acceleration,0.008952003
net_margin,0.008385772
growth_momentum_positive,0.0055958494
is_profitability_improving,0.0
is_margin_expanding,0.0
margin_momentum_positive,0.0
growth_deceleration_warning,0.0
growth_capex_pct,0.0
revenue_growth_vs_industry,0.0
year_x,0.0
year_y,0.0
