symbol,company,date,year,label,label_name,label_source
AXP,American Express Company,1995-03-31,1995,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,1995-06-30,1995,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,1995-09-30,1995,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,1995-12-31,1995,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,1996-03-31,1996,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,1996-06-30,1996,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,1996-09-30,1996,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,1996-12-31,1996,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,1997-03-31,1997,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,1997-06-30,1997,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,1997-09-30,1997,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,1997-12-31,1997,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,1998-03-31,1998,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,1998-06-30,1998,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,1998-09-30,1998,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,1998-12-31,1998,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,1999-03-31,1999,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,1999-06-30,1999,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,1999-09-30,1999,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,1999-12-31,1999,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2000-03-31,2000,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2000-06-30,2000,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2000-09-30,2000,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2000-12-31,2000,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2001-03-31,2001,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2001-06-30,2001,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2001-09-30,2001,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2001-12-31,2001,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2002-03-31,2002,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2002-06-30,2002,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2002-09-30,2002,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2002-12-31,2002,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2003-03-31,2003,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2003-06-30,2003,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2003-09-30,2003,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2003-12-31,2003,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2004-03-31,2004,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2004-06-30,2004,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2004-09-30,2004,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2004-12-31,2004,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2005-03-31,2005,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2005-06-30,2005,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2005-09-30,2005,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2005-12-31,2005,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2006-03-31,2006,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2006-06-30,2006,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2006-09-30,2006,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2006-12-31,2006,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2007-03-31,2007,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2007-06-30,2007,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2007-09-30,2007,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2007-12-31,2007,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2008-03-31,2008,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2008-06-30,2008,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2008-09-30,2008,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2008-12-31,2008,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2009-03-31,2009,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2009-06-30,2009,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2009-09-30,2009,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2009-12-31,2009,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2010-03-31,2010,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2010-06-30,2010,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2010-09-30,2010,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2010-12-31,2010,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2011-03-31,2011,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2011-06-30,2011,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2011-09-30,2011,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2011-12-31,2011,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2012-03-31,2012,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2012-06-30,2012,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2012-09-30,2012,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2012-12-31,2012,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2013-03-31,2013,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2013-06-30,2013,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2013-09-30,2013,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2013-12-31,2013,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2014-03-31,2014,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2014-06-30,2014,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2014-09-30,2014,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2014-12-31,2014,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2015-03-31,2015,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2015-06-30,2015,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2015-09-30,2015,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2015-12-31,2015,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2016-03-31,2016,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2016-06-30,2016,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2016-09-30,2016,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2016-12-31,2016,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2017-03-31,2017,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2017-06-30,2017,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2017-09-30,2017,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2017-12-31,2017,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2018-03-31,2018,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2018-06-30,2018,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2018-09-30,2018,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2018-12-31,2018,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2019-03-31,2019,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2019-06-30,2019,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2019-09-30,2019,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2019-12-31,2019,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2020-03-31,2020,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2020-06-30,2020,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2020-09-30,2020,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2020-12-31,2020,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2021-03-31,2021,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2021-06-30,2021,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2021-09-30,2021,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2021-12-31,2021,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2022-03-31,2022,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2022-06-30,2022,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2022-09-30,2022,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2022-12-31,2022,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2023-03-31,2023,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2023-06-30,2023,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2023-09-30,2023,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2023-12-31,2023,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2024-03-31,2024,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2024-06-30,2024,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2024-09-30,2024,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2024-12-31,2024,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2025-03-31,2025,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2025-06-30,2025,1,HOLD,v3.6.5_expanded_hold
AXP,American Express Company,2025-09-30,2025,1,HOLD,v3.6.5_expanded_hold
