date,symbol,reportedCurrency,cik,filingDate,acceptedDate,fiscalYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,accountsReceivables,otherReceivables,inventory,prepaids,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,totalPayables,accountPayables,otherPayables,accruedExpenses,shortTermDebt,capitalLeaseObligationsCurrent,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,capitalLeaseObligationsNonCurrent,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,treasuryStock,preferredStock,commonStock,retainedEarnings,additionalPaidInCapital,accumulatedOtherComprehensiveIncomeLoss,otherTotalStockholdersEquity,totalStockholdersEquity,totalEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,symbol_income,reportedCurrency_income,cik_income,filingDate_income,acceptedDate_income,fiscalYear_income,period_income,revenue,costOfRevenue,grossProfit,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,netInterestIncome,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebit,nonOperatingIncomeExcludingInterest,operatingIncome,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeTaxExpense,netIncomeFromContinuingOperations,netIncomeFromDiscontinuedOperations,otherAdjustmentsToNetIncome,netIncome,netIncomeDeductions,bottomLineNetIncome,eps,epsDiluted,weightedAverageShsOut,weightedAverageShsOutDil,symbol_cashflow,reportedCurrency_cashflow,cik_cashflow,filingDate_cashflow,acceptedDate_cashflow,fiscalYear_cashflow,period_cashflow,netIncome_cashflow,depreciationAndAmortization_cashflow,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables_cashflow,inventory_cashflow,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivities,netCashProvidedByInvestingActivities,netDebtIssuance,longTermNetDebtIssuance,shortTermNetDebtIssuance,netStockIssuance,netCommonStockIssuance,commonStockIssuance,commonStockRepurchased,netPreferredStockIssuance,netDividendsPaid,commonDividendsPaid,preferredDividendsPaid,otherFinancingActivities,netCashProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,incomeTaxesPaid,interestPaid
2025-09-30,AXP,USD,0000004962,2025-10-17,2025-10-17 12:24:18,2025,Q3,53435000000,1271000000,54706000000,0,0,0,0,0,0,54706000000,5861000000,0,0,0,236983000000,0,0,242844000000,0,297550000000,14708000000,14708000000,0,0,1446000000,0,0,0,149883000000,166037000000,57787000000,0,0,0,41309000000,99096000000,0,0,265133000000,0,0,138000000,24469000000,11059000000,-3249000000,0,32417000000,32417000000,0,297550000000,238254000000,59233000000,5798000000,AXP,USD,0000004962,2025-10-17,2025-10-17 12:24:18,2025,Q3,20557000000,3418000000,17139000000,0,2239000000,1599000000,3838000000,9476000000,13314000000,16732000000,4486000000,6617000000,2131000000,457000000,4282000000,3825000000,0,3825000000,0,3825000000,923000000,2902000000,0,0,2902000000,0,2868000000,4.14,4.14,692000000,693000000,AXP,USD,0000004962,2025-10-17,2025-10-17 12:24:18,2025,Q3,2849000000,457000000,141000000,193000000,1708000000,0,0,1889000000,-181000000,885000000,6233000000,1020000000,-1137000000,-511000000,-708000000,-5262000000,-6598000000,-542000000,-522000000,-20000000,-2325000000,-2325000000,26000000,-2351000000,0,-586000000,-586000000,0,496000000,-2957000000,-983000000,-4305000000,53435000000,57740000000,6233000000,-655000000,5578000000,0,0
2025-06-30,AXP,USD,0000004962,2025-07-18,2025-07-18 12:40:32,2025,Q2,57830000000,988000000,58818000000,59405000000,0,59405000000,0,0,-59405000000,58818000000,5662000000,0,0,0,208419000000,0,22657000000,236738000000,0,295556000000,14121000000,14121000000,0,0,1493000000,0,0,0,149386000000,165000000000,58202000000,0,0,0,40043000000,98245000000,0,0,263245000000,0,0,140000000,24367000000,11052000000,-3248000000,0,32311000000,32311000000,0,295556000000,209407000000,59695000000,1865000000,AXP,USD,0000004962,2025-07-18,2025-07-18 12:40:32,2025,Q2,19933000000,3482000000,16451000000,0,2152000000,1555000000,3707000000,9194000000,12901000000,16383000000,4187000000,6264000000,2077000000,427000000,3977000000,3550000000,0,3550000000,0,3550000000,665000000,2885000000,0,0,2885000000,0,2852000000,4.09,4.08,698000000,699000000,AXP,USD,0000004962,2025-07-18,2025-07-18 12:40:32,2025,Q2,2962000000,423000000,88000000,172000000,37000000,0,0,1207000000,-1170000000,682000000,4364000000,455000000,-553000000,-321000000,243000000,-6621000000,-6797000000,6657000000,6767000000,-110000000,-1356000000,-1356000000,-3000000,-1356000000,0,-593000000,-593000000,0,2970000000,7678000000,184000000,5429000000,57937000000,52508000000,4364000000,-619000000,3745000000,0,0
2025-03-31,AXP,USD,0000004962,2025-04-18,2025-04-18 12:21:54,2025,Q1,52406000000,0,52406000000,0,0,0,0,0,0,52406000000,5383000000,0,0,0,203286000000,0,21169000000,229838000000,0,282244000000,13564000000,13564000000,0,0,1559000000,0,0,0,146396000000,161519000000,51236000000,0,0,0,38287000000,89523000000,0,0,251042000000,0,0,140000000,23391000000,11037000000,-3366000000,0,31202000000,31202000000,0,282244000000,203286000000,52795000000,389000000,AXP,USD,0000004962,2025-04-18,2025-04-18 12:21:54,2025,Q1,18933000000,3116000000,15817000000,0,2120000000,1486000000,3606000000,8881000000,12487000000,15603000000,4169000000,6135000000,1966000000,433000000,3763000000,3330000000,0,3330000000,0,3330000000,746000000,2584000000,0,0,2584000000,0,2552000000,3.64,3.64,701000000,702000000,AXP,USD,0000004962,2025-04-18,2025-04-18 12:21:54,2025,Q1,2584000000,433000000,-20000000,158000000,246000000,0,0,228000000,18000000,1363000000,4764000000,-430000000,0,-239000000,285000000,835000000,451000000,1365000000,1234000000,131000000,-1186000000,-1186000000,22000000,-1208000000,0,-509000000,-509000000,0,6973000000,6643000000,10000000,11868000000,52508000000,40640000000,4764000000,-430000000,4334000000,0,0
2024-12-31,AXP,USD,0000004962,2025-02-07,2025-02-07 14:10:04,2024,Q4,40552000000,953000000,41505000000,0,0,0,0,0,0,41505000000,6175000000,4187000000,123000000,4310000000,209362000000,0,10109000000,229956000000,0,271461000000,13884000000,13884000000,0,2121000000,1374000000,0,1386000000,0,139413000000,156792000000,49715000000,0,4042000000,0,30648000000,84405000000,0,0,241197000000,0,0,141000000,22148000000,11370000000,-3395000000,0,30264000000,30264000000,0,271461000000,210315000000,51089000000,10537000000,AXP,USD,0000004962,2025-02-07,2025-02-07 14:10:04,2024,Q4,19218000000,3331000000,15887000000,0,2102000000,1614000000,3716000000,9415000000,13131000000,16462000000,4038000000,6077000000,2039000000,428000000,3184000000,2756000000,0,2756000000,0,2756000000,586000000,2170000000,0,0,2170000000,0,2139000000,2.99,3.04,704000000,704000000,AXP,USD,0000004962,2025-02-07,2025-02-07 14:10:04,2024,Q4,2170000000,428000000,-73000000,111000000,2081000000,0,0,852000000,1229000000,1061000000,5778000000,-497000000,-364000000,-383000000,311000000,-11312000000,-12245000000,-3280000000,-3318000000,38000000,-980000000,-980000000,51000000,-1031000000,0,-510000000,-510000000,0,4000000000,-770000000,-41000000,-7278000000,40640000000,47918000000,5778000000,-495000000,5283000000,0,0
2024-09-30,AXP,USD,0000004962,2024-10-18,2024-10-18 15:10:16,2024,Q3,47817000000,867000000,48684000000,0,0,0,0,0,0,48684000000,5308000000,0,0,0,202451000000,0,14536000000,222295000000,0,270979000000,13162000000,13162000000,0,0,1457000000,0,0,0,135438000000,150057000000,53546000000,0,0,0,37669000000,91215000000,0,0,241272000000,0,0,141000000,21466000000,11295000000,-3195000000,0,29707000000,29707000000,0,270979000000,203318000000,55003000000,7186000000,AXP,USD,0000004962,2024-10-18,2024-10-18 15:10:16,2024,Q3,18779000000,3499000000,15280000000,0,2049000000,1470000000,3519000000,8557000000,12076000000,15575000000,4006000000,6149000000,2143000000,437000000,3641000000,3204000000,0,3204000000,0,3204000000,697000000,2507000000,0,0,2507000000,0,2474000000,3.49,3.49,708000000,709000000,AXP,USD,0000004962,2024-10-18,2024-10-18 15:10:16,2024,Q3,2507000000,437000000,-473000000,113000000,-6147000000,0,0,-5862000000,-285000000,1751000000,-1812000000,-455000000,-80000000,-448000000,345000000,-2884000000,-3522000000,1123000000,1433000000,-310000000,-1932000000,-1932000000,3000000,-1935000000,0,-516000000,-516000000,0,1675000000,350000000,7000000,-4977000000,47918000000,52895000000,-1812000000,-455000000,-2267000000,0,0
2024-06-30,AXP,USD,0000004962,2024-07-19,2024-07-19 13:18:53,2024,Q2,52814000000,814000000,53628000000,0,0,0,0,0,0,53628000000,5247000000,0,0,0,199060000000,0,14284000000,218591000000,0,272219000000,13145000000,13145000000,0,0,1639000000,0,0,0,133746000000,148530000000,51521000000,0,0,0,42628000000,94149000000,0,0,242679000000,0,0,143000000,21265000000,11332000000,-3200000000,0,29540000000,29540000000,0,272219000000,199874000000,53160000000,346000000,AXP,USD,0000004962,2024-07-19,2024-07-19 13:18:53,2024,Q2,18397000000,3332000000,15065000000,0,1949000000,1480000000,3429000000,7846000000,11275000000,14607000000,3730000000,5794000000,2064000000,421000000,4211000000,3790000000,0,3790000000,0,3790000000,775000000,3015000000,0,0,3015000000,0,2977000000,4.16,4.15,716000000,717000000,AXP,USD,0000004962,2024-07-19,2024-07-19 13:18:53,2024,Q2,3015000000,421000000,-310000000,104000000,569000000,0,0,701000000,-132000000,733000000,4532000000,-565000000,584000000,-355000000,1281000000,-6436000000,-5491000000,2594000000,2633000000,-39000000,-1745000000,-1745000000,17000000,-1762000000,0,-521000000,-521000000,0,-653000000,-325000000,-34000000,-1318000000,52707000000,54144000000,4532000000,-566000000,3966000000,0,0
2024-03-31,AXP,USD,0000004962,2024-04-19,2024-04-19 10:58:03,2024,Q1,54145000000,1828000000,55973000000,0,0,0,0,0,0,55973000000,5138000000,0,0,0,194399000000,0,13751000000,213288000000,0,269261000000,13411000000,13411000000,0,0,1742000000,0,0,0,134418000000,149571000000,48826000000,0,0,0,42100000000,90926000000,0,0,240497000000,0,0,144000000,20421000000,11354000000,-3155000000,0,28764000000,28764000000,0,269261000000,196227000000,50568000000,-3577000000,AXP,USD,0000004962,2024-04-19,2024-04-19 10:58:03,2024,Q1,17807000000,3275000000,14532000000,0,2098000000,1476000000,3574000000,7813000000,11387000000,14662000000,3769000000,5775000000,2006000000,390000000,3535000000,3145000000,0,3145000000,0,3145000000,708000000,2437000000,0,0,2437000000,0,2405000000,3.34,3.33,721000000,722000000,AXP,USD,0000004962,2024-04-19,2024-04-19 10:58:03,2024,Q1,2437000000,390000000,-134000000,176000000,1607000000,0,0,1412000000,195000000,1076000000,5552000000,-396000000,0,-407000000,284000000,-2625000000,-3144000000,1613000000,1095000000,518000000,-1263000000,-1263000000,29000000,-1292000000,0,-452000000,-452000000,0,5283000000,5181000000,28000000,7617000000,54144000000,46430000000,5552000000,-397000000,5155000000,0,0
2023-12-31,AXP,USD,0000004962,2024-02-09,2024-02-09 14:08:08,2023,Q4,46530000000,2120000000,48650000000,0,0,0,0,0,0,48650000000,5908000000,3851000000,98000000,3949000000,193558000000,0,9043000000,212458000000,0,261108000000,13109000000,13109000000,0,2061000000,1293000000,0,1275000000,0,129144000000,145607000000,47866000000,0,3442000000,0,36136000000,87444000000,0,0,233051000000,0,0,145000000,19612000000,11372000000,-3072000000,0,28057000000,28057000000,0,261108000000,195678000000,49159000000,2629000000,AXP,USD,0000004962,2024-02-09,2024-02-09 14:08:08,2023,Q4,17740000000,3385000000,14355000000,0,2131000000,1228000000,3359000000,8484000000,11843000000,15228000000,3604000000,5552000000,1948000000,422000000,2934000000,2512000000,0,2512000000,0,2512000000,579000000,1933000000,0,0,1933000000,0,1904000000,2.63,2.62,725000000,726000000,AXP,USD,0000004962,2024-02-09,2024-02-09 14:08:08,2023,Q4,1933000000,422000000,-102000000,109000000,2699000000,0,0,3233000000,-534000000,1708000000,6769000000,-426000000,1000000,-399000000,2318000000,-9663000000,-8169000000,719000000,1093000000,-374000000,-896000000,-896000000,5000000,-901000000,0,-454000000,-454000000,0,4698000000,4067000000,21000000,2688000000,46596000000,43908000000,6769000000,-426000000,6343000000,0,0
2023-09-30,AXP,USD,0000004962,2023-10-20,2023-10-20 12:36:01,2023,Q3,43834000000,2793000000,46627000000,0,0,0,0,0,0,46627000000,5124000000,0,0,0,183770000000,0,15066000000,203960000000,0,250587000000,13196000000,13196000000,0,0,1613000000,0,0,0,124439000000,139248000000,46447000000,0,0,0,37568000000,84015000000,0,0,223263000000,0,0,146000000,18953000000,11401000000,-3176000000,0,27324000000,27324000000,0,250587000000,186563000000,48060000000,4226000000,AXP,USD,0000004962,2023-10-20,2023-10-20 12:36:01,2023,Q3,17179000000,3031000000,14148000000,0,2047000000,1236000000,3283000000,7765000000,11048000000,14079000000,3442000000,5240000000,1798000000,429000000,3529000000,3100000000,0,3100000000,0,3100000000,649000000,2451000000,0,0,2451000000,0,2418000000,3.3,3.3,732000000,733000000,AXP,USD,0000004962,2023-10-20,2023-10-20 12:36:01,2023,Q3,2451000000,429000000,-375000000,93000000,4260000000,0,0,4407000000,-147000000,1386000000,8244000000,-401000000,0,-502000000,423000000,-6449000000,-6929000000,-157000000,-232000000,75000000,-1399000000,-1399000000,1000000,-1400000000,0,-459000000,-459000000,0,1701000000,-314000000,-51000000,950000000,43908000000,42958000000,8244000000,-401000000,7843000000,0,0
2023-06-30,AXP,USD,0000004962,2023-07-25,2023-07-24 18:01:03,2023,Q2,41976000000,4065000000,46041000000,0,0,0,0,0,0,46041000000,5177000000,0,0,0,179492000000,0,14194000000,198863000000,0,244904000000,12359000000,12359000000,0,0,1583000000,0,0,0,122756000000,136698000000,46725000000,0,0,0,34778000000,81503000000,0,0,218201000000,0,0,148000000,18130000000,11509000000,-3084000000,0,26703000000,26703000000,0,244904000000,183557000000,48308000000,6332000000,AXP,USD,0000004962,2023-07-25,2023-07-24 18:01:03,2023,Q2,16724000000,2868000000,13856000000,0,1875000000,1408000000,3283000000,7839000000,11122000000,13990000000,3105000000,4775000000,1670000000,400000000,3134000000,2734000000,0,2734000000,0,2734000000,560000000,2174000000,0,0,2174000000,0,2142000000,2.89,2.89,740000000,741000000,AXP,USD,0000004962,2023-07-25,2023-07-24 18:01:03,2023,Q2,2174000000,400000000,-518000000,108000000,473000000,0,0,984000000,-511000000,1286000000,3923000000,-376000000,0,-394000000,249000000,-7410000000,-7931000000,5570000000,5615000000,-45000000,-1029000000,-1029000000,4000000,-1033000000,0,-462000000,-462000000,0,1950000000,6029000000,101000000,2122000000,42958000000,40836000000,3923000000,-376000000,3547000000,0,0
