date,symbol,reportedCurrency,cik,filingDate,acceptedDate,fiscalYear,period,cashAndCashEquivalents,shortTermInvestments,cashAndShortTermInvestments,netReceivables,accountsReceivables,otherReceivables,inventory,prepaids,otherCurrentAssets,totalCurrentAssets,propertyPlantEquipmentNet,goodwill,intangibleAssets,goodwillAndIntangibleAssets,longTermInvestments,taxAssets,otherNonCurrentAssets,totalNonCurrentAssets,otherAssets,totalAssets,totalPayables,accountPayables,otherPayables,accruedExpenses,shortTermDebt,capitalLeaseObligationsCurrent,taxPayables,deferredRevenue,otherCurrentLiabilities,totalCurrentLiabilities,longTermDebt,capitalLeaseObligationsNonCurrent,deferredRevenueNonCurrent,deferredTaxLiabilitiesNonCurrent,otherNonCurrentLiabilities,totalNonCurrentLiabilities,otherLiabilities,capitalLeaseObligations,totalLiabilities,treasuryStock,preferredStock,commonStock,retainedEarnings,additionalPaidInCapital,accumulatedOtherComprehensiveIncomeLoss,otherTotalStockholdersEquity,totalStockholdersEquity,totalEquity,minorityInterest,totalLiabilitiesAndTotalEquity,totalInvestments,totalDebt,netDebt,symbol_income,reportedCurrency_income,cik_income,filingDate_income,acceptedDate_income,fiscalYear_income,period_income,revenue,costOfRevenue,grossProfit,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,netInterestIncome,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebit,nonOperatingIncomeExcludingInterest,operatingIncome,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeTaxExpense,netIncomeFromContinuingOperations,netIncomeFromDiscontinuedOperations,otherAdjustmentsToNetIncome,netIncome,netIncomeDeductions,bottomLineNetIncome,eps,epsDiluted,weightedAverageShsOut,weightedAverageShsOutDil,symbol_cashflow,reportedCurrency_cashflow,cik_cashflow,filingDate_cashflow,acceptedDate_cashflow,fiscalYear_cashflow,period_cashflow,netIncome_cashflow,depreciationAndAmortization_cashflow,deferredIncomeTax,stockBasedCompensation,changeInWorkingCapital,accountsReceivables_cashflow,inventory_cashflow,accountsPayables,otherWorkingCapital,otherNonCashItems,netCashProvidedByOperatingActivities,investmentsInPropertyPlantAndEquipment,acquisitionsNet,purchasesOfInvestments,salesMaturitiesOfInvestments,otherInvestingActivities,netCashProvidedByInvestingActivities,netDebtIssuance,longTermNetDebtIssuance,shortTermNetDebtIssuance,netStockIssuance,netCommonStockIssuance,commonStockIssuance,commonStockRepurchased,netPreferredStockIssuance,netDividendsPaid,commonDividendsPaid,preferredDividendsPaid,otherFinancingActivities,netCashProvidedByFinancingActivities,effectOfForexChangesOnCash,netChangeInCash,cashAtEndOfPeriod,cashAtBeginningOfPeriod,operatingCashFlow,capitalExpenditure,freeCashFlow,incomeTaxesPaid,interestPaid
2020-11-22,COST,USD,0000909832,2020-12-16,2020-12-16 17:05:38,2021,Q1,13590000000,833000000,14423000000,1646000000,1646000000,0,14901000000,0,1126000000,32096000000,25073000000,0,0,0,0,0,3048000000,28121000000,0,60217000000,17014000000,17014000000,0,5037000000,96000000,0,0,0,10520000000,32667000000,7529000000,2574000000,0,0,2138000000,12241000000,0,2574000000,44908000000,0,0,4000000,9232000000,6725000000,-1101000000,0,14860000000,15309000000,449000000,60217000000,833000000,10199000000,-3391000000,COST,USD,0000909832,2020-12-16,2020-12-16 17:05:38,2021,Q1,43208000000,37458000000,5750000000,0,0,0,4298000000,11000000,4320000000,41778000000,-18000000,21000000,39000000,404000000,1863000000,1459000000,-29000000,1430000000,-10000000,1420000000,239000000,1181000000,0,0,1166000000,0,1166000000,2.63,2.62,442952000,444386000,COST,USD,0000909832,2020-12-16,2020-12-16 17:05:38,2021,Q1,1181000000,404000000,-9000000,341000000,669000000,0,-2580000000,2785000000,464000000,61000000,2647000000,-893000000,0,-273000000,484000000,0,-682000000,40000000,40000000,0,-80000000,-80000000,0,-80000000,0,-310000000,-310000000,0,-350000000,-700000000,48000000,1313000000,13590000000,12277000000,2647000000,-893000000,1754000000,123000000,64000000
2020-08-31,COST,USD,0000909832,2020-10-07,2020-10-06 19:07:39,2020,Q4,12277000000,1028000000,13305000000,1550000000,1550000000,0,12242000000,0,1023000000,28120000000,24595000000,0,0,0,0,0,2841000000,27436000000,0,55556000000,14172000000,14172000000,0,4998000000,95000000,0,0,0,5579000000,24844000000,7514000000,2558000000,0,0,1935000000,12007000000,0,2558000000,36851000000,0,0,4000000,12879000000,6698000000,-1297000000,0,18284000000,18705000000,421000000,55556000000,1028000000,10167000000,-2110000000,COST,USD,0000909832,2020-10-07,2020-10-06 19:07:39,2020,Q4,53383000000,46401000000,6982000000,0,0,0,5027000000,26000000,5053000000,51454000000,-34000000,17000000,51000000,505000000,2429000000,1924000000,5000000,1929000000,-60000000,1869000000,465000000,1404000000,0,0,1389000000,0,1389000000,3.14,3.13,443026000,444342000,COST,USD,0000909832,2020-10-07,2020-10-06 19:07:39,2020,Q4,1404000000,505000000,109000000,111000000,1970000000,0,-1056000000,2832000000,194000000,143000000,4242000000,-852000000,-30000000,-592000000,529000000,4000000,-941000000,-1500000000,-1500000000,0,-85000000,-85000000,0,-85000000,0,-619000000,-619000000,0,286000000,-1918000000,68000000,1451000000,12277000000,10826000000,4242000000,-852000000,3390000000,594000000,53000000
2020-05-10,COST,USD,0000909832,2020-06-04,2020-06-03 17:55:52,2020,Q3,10826000000,948000000,11774000000,1507000000,1507000000,0,11010000000,0,963000000,25254000000,24276000000,0,0,0,0,0,2202000000,26478000000,0,51732000000,10813000000,10813000000,0,4577000000,1497000000,0,0,0,5892000000,22779000000,7598000000,2535000000,0,0,1617000000,11750000000,0,2535000000,34529000000,0,0,4000000,11883000000,6593000000,-1678000000,0,16802000000,17203000000,401000000,51732000000,948000000,11630000000,804000000,COST,USD,0000909832,2020-06-04,2020-06-03 17:55:52,2020,Q3,37266000000,32249000000,5017000000,0,0,0,3830000000,6000000,3838000000,36087000000,-21000000,16000000,37000000,382000000,1582000000,1200000000,-21000000,1179000000,-16000000,1163000000,311000000,852000000,0,0,838000000,0,838000000,1.9,1.89,442322000,443855000,COST,USD,0000909832,2020-06-04,2020-06-03 17:55:52,2020,Q3,852000000,382000000,-6000000,89000000,579000000,0,659000000,-34000000,-46000000,2000000,1898000000,-698000000,0,-398000000,372000000,-1126000000,-1850000000,3364000000,3364000000,0,-34000000,-34000000,0,-34000000,0,-287000000,-287000000,0,-44000000,2999000000,-7000000,3040000000,10826000000,7786000000,1898000000,-698000000,1200000000,78000000,11000000
2020-02-16,COST,USD,0000909832,2020-03-12,2020-03-11 17:59:32,2020,Q2,7786000000,929000000,8715000000,1988000000,1988000000,0,11850000000,0,1150000000,23703000000,24077000000,0,0,0,0,0,1002000000,25079000000,0,48782000000,11072000000,11072000000,0,4658000000,500000000,0,0,0,6465000000,22695000000,5099000000,2446000000,0,0,1543000000,9088000000,0,2446000000,31783000000,0,0,4000000,11384000000,6506000000,-1280000000,0,16614000000,16999000000,385000000,48782000000,929000000,8045000000,259000000,COST,USD,0000909832,2020-03-12,2020-03-11 17:59:32,2020,Q2,39072000000,34056000000,5016000000,0,0,0,3743000000,7000000,3750000000,37806000000,3000000,37000000,34000000,389000000,1700000000,1311000000,-45000000,1266000000,11000000,1277000000,330000000,947000000,0,0,931000000,0,931000000,2.1,2.1,442021000,443727000,COST,USD,0000909832,2020-03-12,2020-03-11 17:59:32,2020,Q2,947000000,389000000,-4000000,118000000,-867000000,0,1990000000,-3201000000,344000000,36000000,619000000,-545000000,0,-315000000,380000000,10000000,-470000000,-1200000000,-1200000000,0,-47000000,-47000000,0,-47000000,0,0,0,0,-145000000,-1392000000,2000000,-1241000000,7786000000,9027000000,619000000,-545000000,74000000,283000000,10000000
2019-11-24,COST,USD,0000909832,2019-12-23,2019-12-20 18:04:39,2020,Q1,9027000000,993000000,10020000000,1711000000,1711000000,0,13818000000,0,1094000000,26643000000,23834000000,0,0,0,0,0,954000000,24788000000,0,51431000000,14440000000,14440000000,0,4352000000,1700000000,0,0,0,5773000000,26265000000,5107000000,2442000000,0,0,1393000000,8942000000,0,2353000000,35207000000,0,0,4000000,10787000000,6391000000,-1321000000,0,15861000000,16224000000,363000000,51431000000,993000000,9249000000,222000000,COST,USD,0000909832,2019-12-23,2019-12-20 18:04:39,2020,Q1,37040000000,32233000000,4807000000,0,0,0,3732000000,7000000,3746000000,35979000000,1000000,39000000,38000000,369000000,1465000000,1096000000,-35000000,1061000000,-3000000,1058000000,202000000,856000000,0,0,844000000,0,844000000,1.91,1.9,441818000,443680000,COST,USD,0000909832,2019-12-23,2019-12-20 18:04:39,2020,Q1,856000000,369000000,5000000,301000000,516000000,0,-2384000000,2664000000,236000000,55000000,2102000000,-715000000,0,-321000000,397000000,9000000,-630000000,122000000,122000000,0,-30000000,-30000000,0,-30000000,0,-573000000,-573000000,0,-355000000,-836000000,7000000,643000000,9027000000,8384000000,2102000000,-715000000,1387000000,97000000,50000000
2019-08-31,COST,USD,0000909832,2019-10-11,2019-10-10 18:06:12,2019,Q4,8384000000,1060000000,9444000000,1535000000,1535000000,0,11395000000,0,1111000000,23485000000,20890000000,0,0,0,0,0,1025000000,21915000000,0,45400000000,11679000000,11679000000,0,4356000000,1699000000,0,0,0,5503000000,23237000000,5124000000,0,0,0,1455000000,6579000000,0,421000000,29816000000,0,0,4000000,10258000000,6417000000,-1436000000,0,15243000000,15584000000,341000000,45400000000,1060000000,6823000000,-1561000000,COST,USD,0000909832,2019-10-11,2019-10-10 18:06:12,2019,Q4,47498000000,41310000000,6188000000,0,0,0,4684000000,8000000,4725000000,46035000000,8000000,53000000,45000000,473000000,2010000000,1537000000,-74000000,1463000000,29000000,1492000000,382000000,1110000000,0,0,1097000000,0,1097000000,2.49,2.47,439719000,443997000,COST,USD,0000909832,2019-10-11,2019-10-10 18:06:12,2019,Q4,1110000000,473000000,180000000,113000000,418000000,0,-127000000,322000000,223000000,-1000000,2293000000,-1009000000,0,-341000000,431000000,-1000000,-920000000,298000000,298000000,0,-52000000,-52000000,0,-52000000,0,-286000000,-286000000,0,39000000,-1000000,-1000000,1371000000,8384000000,7013000000,2293000000,-1009000000,1284000000,407000000,69000000
2019-05-12,COST,USD,0000909832,2019-06-06,2019-06-05 20:46:10,2019,Q3,7013000000,1154000000,8167000000,1704000000,1704000000,0,11304000000,0,1110000000,22285000000,20475000000,0,0,0,0,0,992000000,21467000000,0,43752000000,11331000000,11331000000,0,4048000000,1699000000,0,0,0,5754000000,22832000000,4799000000,0,0,0,1301000000,6100000000,0,0,28932000000,0,0,4000000,9496000000,6307000000,-1321000000,0,14486000000,14820000000,334000000,43752000000,1154000000,6498000000,-515000000,COST,USD,0000909832,2019-06-06,2019-06-05 20:46:10,2019,Q3,34740000000,30233000000,4507000000,0,0,0,3371000000,6000000,3385000000,33618000000,-2000000,33000000,35000000,336000000,1494000000,1158000000,-36000000,1122000000,1000000,1123000000,207000000,916000000,0,0,906000000,0,906000000,2.06,2.05,439859000,442642000,COST,USD,0000909832,2019-06-06,2019-06-05 20:46:10,2019,Q3,916000000,336000000,-6000000,93000000,762000000,0,40000000,684000000,38000000,4000000,2105000000,-672000000,0,-296000000,179000000,15000000,-774000000,-96000000,0,-96000000,-46000000,-46000000,0,-46000000,0,-251000000,-251000000,0,-4000000,-397000000,-1000000,933000000,7013000000,6080000000,2105000000,-672000000,1433000000,103000000,4000000
2019-02-17,COST,USD,0000909832,2019-03-13,2019-03-13 16:49:30,2019,Q2,6080000000,1042000000,7122000000,1995000000,1995000000,0,11356000000,0,1175000000,21648000000,20145000000,0,0,0,0,0,1006000000,21151000000,0,42799000000,10711000000,10711000000,0,4303000000,1698000000,0,0,0,5738000000,22450000000,4794000000,0,0,0,1372000000,6166000000,0,0,28616000000,0,0,4000000,8916000000,6218000000,-1280000000,0,13858000000,14183000000,325000000,42799000000,1042000000,6492000000,412000000,COST,USD,0000909832,2019-03-13,2019-03-13 16:49:30,2019,Q2,35396000000,30720000000,4676000000,0,0,0,3464000000,5000000,3473000000,34193000000,4000000,38000000,34000000,352000000,1601000000,1249000000,-46000000,1203000000,12000000,1215000000,314000000,901000000,0,0,889000000,0,889000000,2.02,2.01,440284000,442337000,COST,USD,0000909832,2019-03-13,2019-03-13 16:49:30,2019,Q2,901000000,352000000,4000000,119000000,-1605000000,0,875000000,-2506000000,26000000,10000000,-219000000,-587000000,0,-141000000,281000000,13000000,-434000000,0,-193000000,69000000,-117000000,-117000000,0,-117000000,0,0,0,0,68000000,-49000000,4000000,-698000000,6080000000,6778000000,-219000000,-587000000,-806000000,544000000,19000000
2018-11-25,COST,USD,0000909832,2018-12-20,2018-12-19 19:59:53,2019,Q1,6778000000,1175000000,7953000000,1795000000,1795000000,0,12205000000,0,1001000000,22954000000,19879000000,0,0,0,0,0,981000000,20860000000,0,43814000000,13133000000,13133000000,0,4059000000,0,0,0,0,5281000000,22473000000,6480000000,0,0,0,1382000000,7862000000,0,0,30335000000,0,0,4000000,8387000000,6107000000,-1331000000,0,13167000000,13479000000,312000000,43814000000,1175000000,6480000000,-298000000,COST,USD,0000909832,2018-12-20,2018-12-19 19:59:53,2019,Q1,35069000000,30623000000,4446000000,0,0,0,3475000000,6000000,3497000000,34120000000,-9000000,27000000,36000000,331000000,1302000000,971000000,-22000000,949000000,-14000000,935000000,158000000,777000000,0,0,767000000,0,767000000,1.75,1.73,439157000,442749000,COST,USD,0000909832,2018-12-20,2018-12-19 19:59:53,2019,Q1,777000000,331000000,-31000000,270000000,834000000,0,-1324000000,1822000000,336000000,-4000000,2177000000,-730000000,0,-316000000,340000000,-31000000,-737000000,104000000,104000000,0,-32000000,-32000000,0,-32000000,0,-501000000,-501000000,0,-271000000,-700000000,-17000000,723000000,6778000000,6055000000,2177000000,-730000000,1447000000,133000000,49000000
2018-08-31,COST,USD,0000909832,2018-10-26,2018-10-26 09:21:46,2018,Q4,6055000000,1204000000,7259000000,1669000000,1669000000,0,11040000000,0,321000000,20289000000,19681000000,0,0,0,0,0,860000000,20541000000,0,40830000000,11237000000,11237000000,0,4051000000,90000000,0,0,0,4548000000,19926000000,6487000000,0,0,0,1314000000,7801000000,0,390000000,27727000000,0,0,4000000,7887000000,6107000000,-1199000000,0,12799000000,13103000000,304000000,40830000000,1204000000,6577000000,522000000,COST,USD,0000909832,2018-10-26,2018-10-26 09:21:46,2018,Q4,44411000000,38671000000,5740000000,0,0,0,4263000000,8000000,4294000000,42965000000,-10000000,38000000,48000000,431000000,1928000000,1497000000,-51000000,1446000000,3000000,1449000000,396000000,1053000000,0,0,1043000000,0,1043000000,2.38,2.36,438332000,443187000,COST,USD,0000909832,2018-10-26,2018-10-26 09:21:46,2018,Q4,1053000000,431000000,-28000000,113000000,-12000000,0,-485000000,401000000,72000000,-3000000,1554000000,-1056000000,0,-381000000,335000000,7000000,-1095000000,75000000,-28000000,103000000,-90000000,-90000000,0,-90000000,0,-250000000,-250000000,0,-2000000,-267000000,-14000000,178000000,6055000000,5877000000,1554000000,-1056000000,498000000,425000000,62000000
